"cell","process_scenario","visit_key","pressure_key","profile","G","delta","rd_full","rd_full_mcse","rd_panel","rd_panel_mcse","rd_panel_oracle","rd_panel_oracle_mcse","approximation_error","approximation_error_mcse","oracle_approximation_error","oracle_approximation_error_mcse","delta_g","delta_g_mcse","truth_n","truth_batches","precision_met","population_models_valid"
14,2,"sparse","lower","delayed-smooth",4,4,-0.0255793174114892,3.79410655158841e-05,-0.0271642088071561,0.000380083638768569,-0.0253935830704822,0.000382454873067095,-0.00158489139566689,0.000342142573252685,0.000185734341007021,0.000344513807551211,-0.000378706994173597,2.42823052554048e-05,500000,2,TRUE,TRUE
14,2,"sparse","lower","delayed-smooth",4,8,-0.0255793174114892,3.79410655158841e-05,0.0475435599052825,0.000381599987565762,-0.0253935830704819,0.000382454873066873,0.0731228773167718,0.000343658922049878,0.000185734341007354,0.000344513807550989,-0.000378706994173597,2.42823052554048e-05,500000,2,TRUE,TRUE
15,3,"frequent","higher","delayed-smooth",4,1,-0.00961821453816789,2.13987756558787e-05,-0.00669665473955278,0.000801143525764936,-0.00669665473955422,0.000801143525765158,0.00292155979861511,0.000779744750109057,0.00292155979861367,0.000779744750109279,-0.00277211605275041,1.69769437157186e-05,500000,2,TRUE,TRUE
15,3,"frequent","higher","delayed-smooth",4,2,-0.00961821453816789,2.13987756558787e-05,-0.0294042485616181,0.000245206153176081,-0.00754288802330549,0.000450623128860128,-0.0197860340234502,0.000266604928831959,0.00207532651486239,0.000472021904516007,-0.00277211605275041,1.69769437157186e-05,500000,2,TRUE,TRUE
15,3,"frequent","higher","delayed-smooth",4,4,-0.00961821453816789,2.13987756558787e-05,0.0888117277486847,0.00283093743549162,-0.00756021575677662,0.000196621003623332,0.0984299422868526,0.0028523362111475,0.00205799878139126,0.00021801977927921,-0.00277211605275041,1.69769437157186e-05,500000,2,TRUE,TRUE
15,3,"frequent","higher","delayed-smooth",4,8,-0.00961821453816789,2.13987756558787e-05,-0.250892342285781,0.000487637421949627,-0.00756021575677662,0.000196621003623332,-0.241274127747613,0.000509036197605506,0.00205799878139126,0.00021801977927921,-0.00277211605275041,1.69769437157186e-05,500000,2,TRUE,TRUE
16,4,"sparse","higher","delayed-smooth",4,1,-0.0104415926456208,4.70587735038053e-06,-0.00986866894129806,0.000214783313092159,-0.00986866894129901,0.000214783313091771,0.000572923704322742,0.00021948919044254,0.000572923704321798,0.000219489190442151,-0.00264218466521414,1.3499065223313e-05,500000,2,TRUE,TRUE
16,4,"sparse","higher","delayed-smooth",4,2,-0.0104415926456208,4.70587735038053e-06,-0.0452788835420548,0.000328755710149065,-0.0102422234665057,0.00135812161338111,-0.034837290896434,0.000324049832798684,0.000199369179115089,0.00135341573603073,-0.00264218466521414,1.3499065223313e-05,500000,2,TRUE,TRUE
16,4,"sparse","higher","delayed-smooth",4,4,-0.0104415926456208,4.70587735038053e-06,-0.488873424862884,0.00047843101096795,-0.00848324987104038,0.000212767295394822,-0.478431832217264,0.000483136888318331,0.00195834277458043,0.000217473172745203,-0.00264218466521414,1.3499065223313e-05,500000,2,TRUE,TRUE
16,4,"sparse","higher","delayed-smooth",4,8,-0.0104415926456208,4.70587735038053e-06,0.129642791731528,1.35180912070321e-05,-0.00848324987104071,0.0002127672953946,0.140084384377149,1.82239685574126e-05,0.0019583427745801,0.000217473172744981,-0.00264218466521414,1.3499065223313e-05,500000,2,TRUE,TRUE
