"scenario","horizon","target_c120","shape","alpha_l_key","persistence","rd_itt","rd_pp","attenuation","c_true","c_obs","c_obs_mcse"
23,12,0.45,"late","prognostic","legacy",-0.0235645,-0.023485,-0.00338513945071339,0.0332795,0.0284911468844161,0.000113537574183839
23,24,0.45,"late","prognostic","legacy",-0.0566445,-0.0584845,0.0314613273602409,0.070486,0.0605481712616207,0.000161197457989318
23,36,0.45,"late","prognostic","legacy",-0.084557,-0.089416,0.0543415048760848,0.111674,0.0964615323259877,0.000204355710086769
23,60,0.45,"late","prognostic","legacy",-0.127227,-0.140572,0.0949335571806619,0.20554,0.179610279788795,0.000251075639867142
23,84,0.45,"late","prognostic","legacy",-0.155828,-0.180466,0.136524331453016,0.314355,0.278438967821777,0.000302233854793841
23,120,0.45,"late","prognostic","legacy",-0.1780215,-0.223218,0.202476950783539,0.4957265,0.449992996059875,0.000339207146366899
24,12,0.7,"late","prognostic","legacy",-0.0229245,-0.0233815,0.0195453670637039,0.071888,0.062008857455831,0.000167566737600739
24,24,0.7,"late","prognostic","legacy",-0.0542275,-0.0584655,0.0724871933020327,0.1477365,0.127978504301337,0.000224008636740456
24,36,0.7,"late","prognostic","legacy",-0.0792415,-0.0896195,0.115800690697895,0.2259535,0.197801979789142,0.0002773744540531
24,60,0.7,"late","prognostic","legacy",-0.114129,-0.141013,0.190649089091077,0.3857795,0.344930270195381,0.000324449927553444
24,84,0.7,"late","prognostic","legacy",-0.1332545,-0.180553,0.261964630884006,0.5416935,0.494345346306975,0.000331159564933091
24,120,0.7,"late","prognostic","legacy",-0.143185,-0.2241195,0.361122079961806,0.742193,0.699716181969975,0.000311636302351013
