"scenario","horizon","method","target_c120","shape","alpha_l_key","persistence","truth_rd_itt","truth_rd_pp","bias","bias_mcse","rel_bias","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","coverage","coverage_mcse","converged","n_used","n_attempted"
16,24,"gformula",0.2,"late","neutral","legacy",-0.0578735,-0.058322,-7.86139770696873e-05,0.00029839109551367,0.00135837606278672,0.00943595495336049,0.000211099943455822,0.00960236404210364,6.31600268543925e-06,1.76356383180793,2.27762484098127,0.953,0.00669260786241059,1,1000,1000
17,24,"gformula",0.45,"late","neutral","legacy",-0.057743,-0.0585965,0.000987346207067502,0.000305402489310766,-0.0170989766217118,0.00965767469307249,0.000216060228318095,0.00960495596976745,6.86146812957199e-06,-0.545873877309733,2.22610865869038,0.946,0.00714730718522718,1,1000,1000
18,24,"gformula",0.7,"late","neutral","legacy",-0.056149,-0.0586485,0.000740355932218585,0.00029390655712861,-0.0131855586425152,0.00929414139784806,0.000207927309239369,0.00956206764851215,6.39366476179292e-06,2.88274343153556,2.30270700962773,0.95,0.00689202437604511,1,1000,1000
19,24,"gformula",0.2,"early","prognostic","legacy",-0.055433,-0.0588275,0.00012428790242467,0.000286506135107569,-0.00224212837884781,0.00906011950551847,0.000202691802236381,0.00956517646721925,6.59284865068343e-06,5.57450662094632,2.36301966602994,0.965,0.00581162627841812,1,1000,1000
20,24,"gformula",0.45,"early","prognostic","legacy",-0.0507685,-0.0585795,-0.000882004963416422,0.000301839011642297,0.0173730751039803,0.00954498763483739,0.000213539208268803,0.0094945217077059,6.21598640987622e-06,-0.528716527062767,2.22631115277168,0.956,0.00648567652600714,1,1000,1000
21,24,"gformula",0.7,"early","prognostic","legacy",-0.044701,-0.0587665,-0.000627621875573803,0.000302209693322758,0.0140404437389276,0.00955670961880896,0.000213801450952858,0.0093923924448724,6.54560059356958e-06,-1.71939067409939,2.19978740780809,0.937,0.00768316341099159,1,1000,1000
22,24,"gformula",0.2,"late","prognostic","legacy",-0.057641,-0.058149,-0.000563042344004498,0.000312682830599312,0.00976808771541955,0.00988789929922417,0.000221210782934027,0.00960516534335099,6.35423612373051e-06,-2.85939356092924,2.17416680189122,0.94,0.00750999334220744,1,1000,1000
23,24,"gformula",0.45,"late","prognostic","legacy",-0.0566445,-0.0584845,-0.000440686289379891,0.00029576192798003,0.00777986016965267,0.00935281337579578,0.000209239911015069,0.00959823504061962,6.35536753479447e-06,2.62404107686967,2.29689690977222,0.961,0.00612200947402077,1,1000,1000
24,24,"gformula",0.7,"late","prognostic","legacy",-0.0542275,-0.0584655,-0.000686056808789831,0.000295969121639617,0.0126514556044411,0.00935936541460617,0.000209386492365788,0.00954587675881216,6.4886394587157e-06,1.99277767181656,2.28282197254,0.949,0.00695693898205238,1,1000,1000
1,36,"gformula",0.2,"early","neutral","transient",-0.0976395,-0.1038415,-0.0010153965238676,0.000338698874305855,0.0103994441170592,0.0107105988374158,0.000239616108823331,0.0106621602719319,5.75023482726832e-06,-0.452248900544194,2.22771621652736,0.942,0.00739161687318817,1,1000,1000
2,36,"gformula",0.45,"early","neutral","transient",-0.0895525,-0.1036505,-0.000254320929339288,0.000334653869772827,0.0028399087612215,0.0105826845627151,0.00023675442748954,0.0105485146209457,6.20699061970399e-06,-0.322885384770355,2.2307345025006,0.949,0.00695693898205238,1,1000,1000
3,36,"gformula",0.7,"early","neutral","transient",-0.0779975,-0.103545,-0.000253346877627056,0.000326326617804067,0.00324814099973789,0.0103193537340011,0.000230863224815676,0.0103831107943286,6.0997343441884e-06,0.617839662937958,2.25178503022618,0.958,0.00634318531969546,1,1000,1000
4,36,"gformula",0.2,"late","neutral","transient",-0.102737,-0.1040365,0.000411400909781381,0.000343855705844264,-0.00400440843884269,0.0108736721691275,0.000243264363957404,0.0107010683128368,5.90623908424971e-06,-1.5873557120907,2.20234465345292,0.942,0.00739161687318817,1,1000,1000
5,36,"gformula",0.45,"late","neutral","transient",-0.099382,-0.1039225,-1.32721187494494e-05,0.000335592788258064,0.000133546504894744,0.0106123757722209,0.000237418675324423,0.010673418345804,5.91442752023288e-06,0.575201772847689,2.25074528659971,0.956,0.00648567652600714,1,1000,1000
6,36,"gformula",0.7,"late","neutral","transient",-0.0955595,-0.1035475,-0.000100949263574415,0.000327926092161985,0.00105640217429366,0.0103699335543016,0.000231994789904554,0.0106269276522402,5.91695531138621e-06,2.47826176120438,2.29334012346738,0.965,0.00581162627841812,1,1000,1000
7,36,"gformula",0.2,"early","prognostic","transient",-0.0957635,-0.103667,0.000621011564813506,0.000336905591601795,-0.00648484615551339,0.0106538902590817,0.000238347431965613,0.0106442998750304,5.94132305426217e-06,-0.0900176725877055,2.23586855773774,0.957,0.00641490451994416,1,1000,1000
8,36,"gformula",0.45,"early","prognostic","transient",-0.0833655,-0.104197,-0.000483187260978665,0.000328840982061521,0.00579600987193342,0.0103988649132098,0.000232642038461781,0.0105245438949883,5.87166029466944e-06,1.20858365626815,2.26492906084604,0.947,0.00708456067798138,1,1000,1000
9,36,"gformula",0.7,"early","prognostic","transient",-0.0670105,-0.103701,-0.000420265291939628,0.000327718755555607,0.00627163342968084,0.0103633769951168,0.000231848107424611,0.0102882520800006,6.22417604662697e-06,-0.724907673932174,2.22178122402626,0.949,0.00695693898205238,1,1000,1000
10,36,"gformula",0.2,"late","prognostic","transient",-0.1009145,-0.1040155,-0.000708455474285441,0.000338602080651154,0.0070203536090992,0.0107075379532968,0.000239547631126304,0.0106956841036172,5.91116481230071e-06,-0.110705651768384,2.23539194657881,0.944,0.00727076337120113,1,1000,1000
11,36,"gformula",0.45,"late","prognostic","transient",-0.097416,-0.1034815,0.000459169317043553,0.000348672539293819,-0.00471348974545817,0.0110259938172303,0.000246672083839549,0.0106541744175441,5.97084013860979e-06,-3.37220758372949,2.16242242732167,0.941,0.00745110730026082,1,1000,1000
12,36,"gformula",0.7,"late","prognostic","transient",-0.091078,-0.103311,0.00102825426633088,0.000334764828670212,-0.0112898204432561,0.0105861933911391,0.000236832926537656,0.0105891992774212,6.17030989995321e-06,0.0283944017554827,2.23858102247248,0.949,0.00695693898205238,1,1000,1000
13,36,"gformula",0.2,"early","neutral","legacy",-0.084934,-0.0892485,-0.000451101504858997,0.000351652040099109,0.00531120051874393,0.0111202139055805,0.000248779963266851,0.0109586937220005,5.7689172928298e-06,-1.45249169621617,2.20530217073271,0.945,0.00720936890441875,1,1000,1000
14,36,"gformula",0.45,"early","neutral","legacy",-0.0784295,-0.089498,0.000276210643550448,0.000345512203792128,-0.00352176978752189,0.0109260552336739,0.000244436270989437,0.01088378938931,6.0090855434555e-06,-0.386835353290349,2.22921116016907,0.95,0.00689202437604511,1,1000,1000
15,36,"gformula",0.7,"early","neutral","legacy",-0.0694485,-0.0891355,0.000300412309874987,0.000334247239555974,-0.0043256846422167,0.010569825786208,0.000236466752632362,0.0107541203112642,6.09090576018445e-06,1.7435909425924,2.27692355984487,0.961,0.00612200947402077,1,1000,1000
16,36,"gformula",0.2,"late","neutral","legacy",-0.088062,-0.089161,0.000294472430739393,0.000348794597806114,-0.00334392167722051,0.0110298536462969,0.000246758435427888,0.0109991908248967,5.64685267212616e-06,-0.277998442984217,2.23155485074121,0.953,0.00669260786241059,1,1000,1000
17,36,"gformula",0.45,"late","neutral","legacy",-0.0869185,-0.0897125,0.00129764595436443,0.000352072596709917,-0.0149294563799932,0.0111335130733324,0.000249077490499052,0.0109925643495335,6.18649659642822e-06,-1.26598606271525,2.2095631841858,0.937,0.00768316341099159,1,1000,1000
18,36,"gformula",0.7,"late","neutral","legacy",-0.0832765,-0.089248,0.000926953855795637,0.000345637053685707,-0.0111310376372162,0.0109300033339673,0.000244524597370054,0.0109392959639465,5.87708934012435e-06,0.0850194615252153,2.23973443033016,0.954,0.00662449998113065,1,1000,1000
