"scenario","view","restricted_method","n_paired","mean_estimated_movement","movement_mcse","delta_target","restricted_bias","broad_bias","decomposition_rhs","identity_error"
6,"full","oracle",2000,0.00818889525927513,0.000422206763386807,0.00821732133236905,-0.000276286667057125,-0.000247860593963208,0.00818889525927513,3.46944695195361e-18
7,"full","oracle",2000,-0.0188846762474548,0.000538585615373777,-0.0193991237983684,0.000319684327072169,-0.000194763223841474,-0.0188846762474548,3.46944695195361e-18
8,"full","oracle",2000,-0.0151805368485845,0.000560181926596076,-0.0152924178594539,0.000147545905413354,3.56648945439367e-05,-0.0151805368485845,-1.73472347597681e-18
9,"full","oracle",2000,0.0133075597383854,0.000413339878386387,0.0134049483222748,0.000313997526484335,0.000411386110373772,0.0133075597383854,-1.73472347597681e-18
10,"full","oracle",2000,-0.00131124698531636,0.000232364059360122,-0.00129676670330527,-0.000249369243405628,-0.000234888961394529,-0.00131124698531637,2.60208521396521e-18
11,"full","oracle",2000,-0.00137679978622755,0.000234366630305877,-0.00129041678782159,-0.000557576212293208,-0.000471193213887243,-0.00137679978622755,8.67361737988404e-19
12,"full","oracle",2000,0.000882690110262693,0.000236764775730342,0.00077426444009425,0.000125924485003065,1.74988148346211e-05,0.000882690110262693,-7.58941520739853e-19
13,"full","oracle",2000,-0.00466393415698377,0.000242907097561835,-0.00449820571466338,-0.000376938558805634,-0.000211210116485241,-0.00466393415698377,-5.20417042793042e-18
14,"full","oracle",2000,-0.00408927910026376,0.000237100909006244,-0.00416282976317864,0.000206529081736864,0.000132978418821983,-0.00408927910026376,-2.60208521396521e-18
15,"full","oracle",2000,0.00398810901585102,0.000240809469658387,0.00381736071349604,-3.70955506545124e-05,-0.000207843853009496,0.00398810901585102,0
16,"full","oracle",2000,-0.00755187027954166,0.000242483101915943,-0.00782437574771026,0.000669883323053559,0.000397377854884959,-0.00755187027954166,8.67361737988404e-19
17,"full","oracle",2000,-0.00607065438921285,0.000229887586508066,-0.00629112690204368,-0.000217407411853304,-0.000437879924684137,-0.00607065438921285,-3.46944695195361e-18
18,"full","oracle",2000,0.0066428255718041,0.000251114008814805,0.00635542701460849,3.66223331224949e-05,-0.000250776224073122,0.0066428255718041,-8.67361737988404e-19
1,"full","policy",2000,-0.00202321462074406,0.000385976710679954,-0.00274001413664764,0.000616306024509135,-0.000100493491394439,-0.00202321462074406,1.30104260698261e-18
2,"full","policy",2000,-0.00353504469349281,0.000456697206982859,-0.00272790322402833,-0.000651052809508633,0.000156088659955839,-0.00353504469349281,-3.46944695195361e-18
3,"full","policy",2000,0.00123742866738767,0.000432444794077138,0.00182084775198168,-0.000176663239379871,0.000406755845214136,0.00123742866738767,-8.67361737988404e-19
4,"full","policy",2000,-0.0114934932767098,0.000408946612828348,-0.0103088651293287,-0.00141581705984774,-0.000231188912466589,-0.0114934932767098,5.20417042793042e-18
5,"full","policy",2000,-0.00892932106145621,0.000518979433054756,-0.00954647956044537,0.000516745793589977,-0.000100412705399185,-0.0089293210614562,-8.67361737988404e-18
6,"full","policy",2000,0.00815679949223554,0.000440519184166552,0.00821732133236905,-0.000308382434096716,-0.000247860593963208,0.00815679949223554,3.46944695195361e-18
7,"full","policy",2000,-0.0192403426360132,0.00043782801799711,-0.0193991237983684,-3.59820614862366e-05,-0.000194763223841474,-0.0192403426360132,3.46944695195361e-18
8,"full","policy",2000,-0.0152751893897145,0.0005761637005314,-0.0152924178594539,5.28933642834212e-05,3.56648945439367e-05,-0.0152751893897145,6.93889390390723e-18
9,"full","policy",2000,0.013346856628656,0.000417490828771428,0.0134049483222748,0.000353294416754947,0.000411386110373772,0.013346856628656,-1.73472347597681e-18
10,"full","policy",2000,-0.00152329227244984,0.000149588878102165,-0.00129676670330527,-0.000461414530539106,-0.000234888961394529,-0.00152329227244984,1.95156391047391e-18
11,"full","policy",2000,-0.00167866041597391,0.000217101685272995,-0.00129041678782159,-0.000859436842039561,-0.000471193213887243,-0.00167866041597391,-1.30104260698261e-18
12,"full","policy",2000,0.000971614785711969,0.000223811305622275,0.00077426444009425,0.000214849160452342,1.74988148346211e-05,0.00097161478571197,-9.75781955236954e-19
13,"full","policy",2000,-0.00463955948193623,0.000146312233340421,-0.00449820571466338,-0.000352563883758095,-0.000211210116485241,-0.00463955948193623,8.67361737988404e-19
14,"full","policy",2000,-0.00408035265272578,0.000239669805867804,-0.00416282976317864,0.000215455529274836,0.000132978418821983,-0.00408035265272579,5.20417042793042e-18
15,"full","policy",2000,0.00398764165343519,0.000243031924663818,0.00381736071349604,-3.7562913070343e-05,-0.000207843853009496,0.00398764165343519,-2.60208521396521e-18
16,"full","policy",2000,-0.00759468120401312,0.000135471704012663,-0.00782437574771026,0.000627072398582097,0.000397377854884959,-0.00759468120401312,-4.33680868994202e-18
17,"full","policy",2000,-0.00610628077703341,0.000232805809832491,-0.00629112690204368,-0.000253033799673855,-0.000437879924684137,-0.0061062807770334,-6.07153216591882e-18
18,"full","policy",2000,0.00659741999612953,0.000252186822515888,0.00635542701460849,-8.78324255207744e-06,-0.000250776224073122,0.00659741999612953,1.73472347597681e-18
1,"full","pooled_all",2000,-0.00260717461173413,0.000352578603350343,-0.00274001413664764,3.23460335190651e-05,-0.000100493491394439,-0.00260717461173413,1.30104260698261e-18
2,"full","pooled_all",2000,-0.00313092662945602,0.000385683349492433,-0.00272790322402833,-0.000246934745471848,0.000156088659955839,-0.00313092662945602,-3.03576608295941e-18
3,"full","pooled_all",2000,0.00104542186056098,0.000361413865284849,0.00182084775198168,-0.000368670046206561,0.000406755845214136,0.00104542186056098,0
4,"full","pooled_all",2000,-0.0114376729843075,0.000393850236714441,-0.0103088651293287,-0.00135999676744539,-0.000231188912466589,-0.0114376729843075,-1.73472347597681e-18
5,"full","pooled_all",2000,-0.00920849698250192,0.00040575413138154,-0.00954647956044537,0.000237569872544266,-0.000100412705399185,-0.00920849698250192,-5.20417042793042e-18
6,"full","pooled_all",2000,0.00839715398531337,0.000344793408073387,0.00821732133236905,-6.80279410188861e-05,-0.000247860593963208,0.00839715398531337,1.73472347597681e-18
7,"full","pooled_all",2000,-0.0193463774296426,0.000415276344831544,-0.0193991237983684,-0.000142016855115647,-0.000194763223841474,-0.0193463774296426,6.93889390390723e-18
8,"full","pooled_all",2000,-0.0155529506570847,0.000440351986722041,-0.0152924178594539,-0.000224867903086776,3.56648945439367e-05,-0.0155529506570847,1.73472347597681e-18
9,"full","pooled_all",2000,0.0135323152393789,0.000336602842688709,0.0134049483222748,0.000538753027477797,0.000411386110373772,0.0135323152393789,-1.73472347597681e-18
10,"full","pooled_all",2000,-0.00153062547615581,0.000240133830480532,-0.00129676670330527,-0.000468747734245073,-0.000234888961394529,-0.00153062547615581,4.33680868994202e-18
11,"full","pooled_all",2000,-0.00094731090170077,0.00024290028958193,-0.00129041678782159,-0.000128087327766424,-0.000471193213887243,-0.000947310901700769,-2.16840434497101e-19
12,"full","pooled_all",2000,0.000589336871580919,0.000244738019848505,0.00077426444009425,-0.000167428753678707,1.74988148346211e-05,0.000589336871580921,-2.71050543121376e-18
13,"full","pooled_all",2000,-0.00429523374239454,0.000236605509392622,-0.00449820571466338,-8.2381442164034e-06,-0.000211210116485241,-0.00429523374239454,-6.93889390390723e-18
14,"full","pooled_all",2000,-0.00421728867639673,0.000236621174229438,-0.00416282976317864,7.85195056038912e-05,0.000132978418821983,-0.00421728867639673,1.73472347597681e-18
15,"full","pooled_all",2000,0.00401546507557826,0.000241398851155394,0.00381736071349604,-9.73949092726578e-06,-0.000207843853009496,0.00401546507557827,-2.60208521396521e-18
16,"full","pooled_all",2000,-0.00763061169291563,0.000245659020857869,-0.00782437574771026,0.000591141909679585,0.000397377854884959,-0.00763061169291563,-8.67361737988404e-19
17,"full","pooled_all",2000,-0.00600089317865792,0.00023461208918972,-0.00629112690204368,-0.000147646201298368,-0.000437879924684137,-0.00600089317865792,-3.46944695195361e-18
18,"full","pooled_all",2000,0.00666478324769976,0.000246998869364686,0.00635542701460849,5.85800090181499e-05,-0.000250776224073122,0.00666478324769976,1.73472347597681e-18
1,"reduced","minimal",2000,-0.00202321462074406,0.000385976710679954,-0.00274001413664764,0.000616306024509135,-0.000100493491394439,-0.00202321462074406,1.30104260698261e-18
2,"reduced","minimal",2000,-0.0037173996435869,0.000388876400084372,-0.00272790322402833,-0.000833407759602722,0.000156088659955839,-0.0037173996435869,-2.16840434497101e-18
3,"reduced","minimal",2000,0.002250232259098,0.000380415458735937,0.00182084775198168,0.000836140352330456,0.000406755845214136,0.002250232259098,0
4,"reduced","minimal",2000,-0.0114934932767098,0.000408946612828348,-0.0103088651293287,-0.00141581705984774,-0.000231188912466589,-0.0114934932767098,5.20417042793042e-18
5,"reduced","minimal",2000,-0.0217115919164649,0.000435662915271746,-0.00954647956044537,-0.0122655250614187,-0.000100412705399185,-0.0217115919164649,-3.46944695195361e-18
6,"reduced","minimal",2000,0.016516241200617,0.000358129866776142,0.00821732133236905,0.00805105927428471,-0.000247860593963208,0.016516241200617,0
7,"reduced","minimal",2000,-0.0192403426360132,0.00043782801799711,-0.0193991237983684,-3.59820614862366e-05,-0.000194763223841474,-0.0192403426360132,3.46944695195361e-18
8,"reduced","minimal",2000,-0.0511363469505069,0.000499064055023701,-0.0152924178594539,-0.035808264196509,3.56648945439367e-05,-0.0511363469505069,6.93889390390723e-18
9,"reduced","minimal",2000,0.0302739092505521,0.000339417594388915,0.0134049483222748,0.017280347038651,0.000411386110373772,0.0302739092505521,-3.46944695195361e-18
10,"reduced","minimal",2000,-0.00152191742353519,0.000149587180304143,-0.00129676670330527,-0.000460039681624461,-0.000234888961394529,-0.0015219174235352,3.03576608295941e-18
11,"reduced","minimal",2000,-0.00188704541620526,0.000149231649650804,-0.00129041678782159,-0.00106782184227091,-0.000471193213887243,-0.00188704541620525,-3.68628738645072e-18
12,"reduced","minimal",2000,0.00131666159549952,0.000161409890410626,0.00077426444009425,0.000559895970239893,1.74988148346211e-05,0.00131666159549952,-6.50521303491303e-19
13,"reduced","minimal",2000,-0.00463742777372889,0.000146323305513195,-0.00449820571466338,-0.000350432175550759,-0.000211210116485241,-0.00463742777372889,-8.67361737988404e-19
14,"reduced","minimal",2000,-0.010772980743649,0.000150200245698128,-0.00416282976317864,-0.00647717256164834,0.000132978418821983,-0.010772980743649,-1.73472347597681e-18
15,"reduced","minimal",2000,0.00996318674295015,0.000173235287324281,0.00381736071349604,0.00593798217644462,-0.000207843853009496,0.00996318674295016,-3.46944695195361e-18
16,"reduced","minimal",2000,-0.00759468120401312,0.000135471704012663,-0.00782437574771026,0.000627072398582097,0.000397377854884959,-0.00759468120401312,-4.33680868994202e-18
17,"reduced","minimal",2000,-0.0238514114269032,0.000154452363779749,-0.00629112690204368,-0.0179981644495436,-0.000437879924684137,-0.0238514114269032,-1.04083408558608e-17
18,"reduced","minimal",2000,0.0218503637561896,0.000190123806810266,0.00635542701460849,0.015244160517508,-0.000250776224073122,0.0218503637561896,0
1,"reduced","role_based",0,NA,NA,-0.00274001413664764,NA,NA,NA,NA
2,"reduced","role_based",0,NA,NA,-0.00272790322402833,NA,NA,NA,NA
3,"reduced","role_based",0,NA,NA,0.00182084775198168,NA,NA,NA,NA
4,"reduced","role_based",0,NA,NA,-0.0103088651293287,NA,NA,NA,NA
5,"reduced","role_based",0,NA,NA,-0.00954647956044537,NA,NA,NA,NA
6,"reduced","role_based",0,NA,NA,0.00821732133236905,NA,NA,NA,NA
