"scenario","view","comparator","n_paired","mse_policy_minus_comparator","mse_difference_mcse","coverage_policy_minus_comparator","coverage_difference_mcse"
12,"reduced","oracle",2000,-2.3980406935534e-05,5.28488297553117e-06,-0.01,0.00538186605566523
13,"reduced","oracle",2000,-3.61839667355244e-05,6.06628527022589e-06,0.0075,0.00554411793000572
14,"reduced","oracle",2000,1.73785120871883e-05,7.5071763443893e-06,-0.023,0.0064619175319014
15,"reduced","oracle",2000,3.72601706535869e-07,5.41897791347222e-06,-0.0145,0.00562678463713294
16,"reduced","oracle",2000,-4.52097593833919e-05,6.77899228971398e-06,5e-04,0.00554664381665292
17,"reduced","oracle",2000,0.000307744384126176,1.29734995634667e-05,-0.179,0.0100264532553859
18,"reduced","oracle",2000,0.000202260542216123,9.12340560073187e-06,-0.2175,0.0102786039835149
1,"reduced","pooled_all",2000,0.000240946181835395,1.32638255700647e-05,-0.004,0.00574530279899385
2,"reduced","pooled_all",2000,0.00021038790482262,1.28394177863384e-05,-0.0035,0.00581040062110077
3,"reduced","pooled_all",2000,0.000196077778871668,1.14507977800618e-05,0.007,0.00565610252275138
4,"reduced","pooled_all",2000,0.000258753574721932,1.51864965094194e-05,5e-04,0.00585380290958381
5,"reduced","pooled_all",2000,0.000292523302500543,1.87203243400534e-05,0.033,0.00703421922604496
6,"reduced","pooled_all",2000,0.000165591478412096,1.00626419975968e-05,0.0265,0.00703019109223892
7,"reduced","pooled_all",2000,0.000312037728794564,1.7868478216548e-05,-0.0045,0.00602146194889601
8,"reduced","pooled_all",2000,0.000380010828854034,3.54540045470655e-05,0.202,0.0105666374459169
9,"reduced","pooled_all",2000,0.000106570984860402,1.09001235725274e-05,0.148,0.0105168104314392
10,"reduced","pooled_all",2000,9.03636307630635e-05,5.08547353822302e-06,0.002,0.00583223863570003
11,"reduced","pooled_all",2000,9.4011929527965e-05,5.38360518233223e-06,5e-04,0.00602229267011343
12,"reduced","pooled_all",2000,8.73652850015778e-05,4.87059924771674e-06,5e-04,0.00618619507490283
13,"reduced","pooled_all",2000,0.000102557396305796,5.53526640379213e-06,-0.0025,0.00550109134654215
14,"reduced","pooled_all",2000,0.000102716573058601,6.08491012895391e-06,0.0225,0.00689352125677866
15,"reduced","pooled_all",2000,6.75797689654564e-05,4.31991164153516e-06,0.03,0.00660089281029067
16,"reduced","pooled_all",2000,0.000109547941903395,6.16232955709146e-06,-0.006,0.00591603750409628
17,"reduced","pooled_all",2000,0.000111000812244728,1.05090242675118e-05,0.1705,0.0108753856026353
18,"reduced","pooled_all",2000,7.38605808746302e-05,6.82017292180729e-06,0.1805,0.0111589486990503
