"scenario","topology","strength","retention","view","method","available","truth","bias","bias_mcse","abs_bias","mse","mse_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","coverage","coverage_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","failure_rate","n_used","n_attempted","mean_min_ps","mean_max_weight","mean_ess","mean_selected_n","mean_treatment_prevalence","mean_outcome_risk","mean_cor_pd_selected","warning_rate","unresolved_rate"
1,"noncollider",0.1,0.3,"reduced","broad",TRUE,-0.0335628331533101,-0.000100493491394439,0.000246827238885036,0.000100493491394439,0.000121796546967178,3.7473529660958e-06,0.0110384496969104,0.00017457686407007,0.0109227960364006,4.51933517203345e-06,-1.04773463380651,1.56549943750019,0.9535,0.00470838348055891,0.953,0.00473238840333293,0.865,0.00764117137617002,1,0,2000,2000,0.155776589173883,5.56231950847621,3778.78332843456,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"reduced","policy",TRUE,-0.0363028472899577,0.000616306024509135,0.000483024317033087,0.000616306024509135,0.000466771502315562,1.52692544683639e-05,0.0216015041534279,0.000341635189528249,0.0218298655243971,1.55744638764701e-05,1.05715495248511,1.59987893656844,0.9485,0.00494205169944629,0.9485,0.00494205169944629,0.365,0.0107651056659933,1,0,2000,2000,0.184049104475798,4.80448603190458,1135.20987031967,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"reduced","pooled_all",TRUE,-0.0363028472899577,0.000206930075680047,0.000336076961534126,0.000206930075680047,0.000225825320480167,7.38684007997362e-06,0.0150298186332377,0.000237701731364229,0.0154357571515048,7.67518635385694e-06,2.70088766985739,1.6250522921421,0.9525,0.00475624589355933,0.952,0.00477995815881269,0.65,0.0106653645038508,1,0,2000,2000,0.162094000609174,5.33686487242684,2263.1963737557,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
2,"concordant-collider",0.1,0.3,"full","minimal",TRUE,-0.0362907363773384,-0.000833407759602722,0.000475519440688238,0.000833407759602722,0.000452705926700203,1.4378580966041e-05,0.0212658758800316,0.000336327113387885,0.021930251032492,1.53928514095803e-05,3.1241372620076,1.63254898545569,0.9535,0.00470838348055891,0.9545,0.00465992220965114,0.3945,0.010928626400422,1,0,2000,2000,0.167445963140803,5.21498226719731,1124.61904984273,1200.058,0.554360132886893,0.175028801155877,-0.00613220700470714,0.7775,0
2,"concordant-collider",0.1,0.3,"full","role_based",TRUE,-0.0362907363773384,-0.000680999619787313,0.000523958115614496,0.000680999619787313,0.000549253442211818,1.7939533968057e-05,0.0234321192775341,0.00037058699494121,0.0231865356757936,8.48324119970121e-05,-1.04806397932602,1.60628923646359,0.9465,0.00503178646208283,0.946,0.00505390937789747,0.362,0.0107460690487266,1,0,2000,2000,0.014207265951354,20.4537860704076,847.699190058394,1200.058,0.554360132886893,0.175028801155877,-0.00613220700470714,0.7775,0
2,"concordant-collider",0.1,0.3,"full","all_measured",TRUE,-0.0362907363773384,-0.000807141959055346,0.00052944692714707,0.000807141959055346,0.000560999261424355,1.82382405128904e-05,0.0236775863915846,0.000374469141454524,0.0231677213218802,7.65485519975475e-05,-2.15336589326351,1.58088842845617,0.943,0.00518415856238985,0.9425,0.00520546587732549,0.3605,0.0107363809079224,1,0,2000,2000,0.0126056084852093,21.6498601353769,831.373959628148,1200.058,0.554360132886893,0.175028801155877,-0.00613220700470714,0.7775,0
2,"concordant-collider",0.1,0.3,"full","oracle",TRUE,-0.0362907363773384,-0.000711045844858135,0.000525004467220929,0.000711045844858135,0.000551489337706752,1.80358356305698e-05,0.0234789135439412,0.000371327062297597,0.0231755420408584,7.80367467546461e-05,-1.29210196423699,1.5960890580834,0.946,0.00505390937789747,0.946,0.00505390937789747,0.3635,0.0107556438672913,1,0,2000,2000,0.0140018218586139,20.5277551066092,846.178746476095,1200.058,0.554360132886893,0.175028801155877,-0.00613220700470714,0.7775,0
2,"concordant-collider",0.1,0.3,"full","broad",TRUE,-0.0335628331533101,0.000156088659955839,0.000245186114336827,0.000156088659955839,0.000120196708766286,3.88680276459663e-06,0.0109650563759236,0.000173416123551848,0.010919977140518,4.54280620892383e-06,-0.411117224208801,1.57557709707608,0.9505,0.0048502448391808,0.951,0.00482695556225661,0.865,0.00764117137617002,1,0,2000,2000,0.154994645769647,5.55028255707366,3779.69529777619,1200.058,0.554360132886893,0.175028801155877,-0.00613220700470714,0.7775,0
2,"concordant-collider",0.1,0.3,"full","policy",TRUE,-0.0362907363773384,-0.000651052809508633,0.000518063786941923,0.000651052809508633,0.000536935654354641,1.76902823343908e-05,0.0231685168856621,0.000366418032795442,0.0228641894307329,6.77164881310093e-05,-1.31353878382088,1.58789132135424,0.9435,0.00516273909857936,0.9435,0.00516273909857936,0.366,0.0107713508902087,1,0,2000,2000,0.0470032426175113,17.9249309157574,897.426732066573,1200.058,0.554360132886893,0.175028801155877,-0.00613220700470714,0.7775,0
2,"concordant-collider",0.1,0.3,"full","pooled_all",TRUE,-0.0362907363773384,-0.000246934745471848,0.000377879203669534,0.000246934745471848,0.000285503569207798,9.91838965457432e-06,0.0168992717337713,0.000267267772681477,0.0164430427811566,4.75901712059209e-05,-2.69969593839359,1.56439315249004,0.9445,0.00511955808639769,0.9445,0.00511955808639769,0.602,0.0109452272703677,1,0,2000,2000,0.00980370109598333,26.4322876172832,1670.12913706481,1200.058,0.554360132886893,0.175028801155877,-0.00613220700470714,0.7775,0
