"scenario","n","event_target","event_regime","K","effect","method","selector","candidate","mean_truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","coverage_conditional","coverage_conditional_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","convergence_mcse","failure_probability","median_width","median_ess1","median_ess0","median_max_weight","n_used","n_attempted"
22,8000,70,"boundary",16,"homogeneous","bonferroni","effect_seeking",NA,-0.00525307337921821,-0.00309506795045786,9.40111468383832e-05,0.00420430629946678,6.64925446511194e-05,0.00444115292572685,3.86866529136298e-05,5.6334293790655,1.90727784067453,2.72467989819576e-05,1.16536769431432e-06,0.995,0.00157718102955875,0.995,0.00157718102955875,0.9985,0.000865375640979091,0.122,0.0073183331435512,1,0,0,0.0221956836098176,2474.45912887251,2614.88142046887,7.47130293406848,2000,2000
23,4000,140,"above",16,"homogeneous","bonferroni","effect_seeking",NA,-0.0202573457725223,-0.00764888144009304,0.000252321410552513,0.011284156523481,0.000178462801719024,0.0113832992674754,8.55024274914017e-05,0.878601283029878,1.76622108256349,0.000185773909636796,7.9849312916935e-06,0.9925,0.00192921616207204,0.9925,0.00192921616207204,0.998,0.000998999499499375,0.3345,0.0105501125586413,1,0,0,0.0589993419662846,1293.94843814622,1589.57281020355,7.14397862229292,2000,2000
24,8000,140,"above",16,"homogeneous","bonferroni","effect_seeking",NA,-0.0105358120369852,-0.00395202693981242,0.000125532593184147,0.00561398823503158,8.87871474626002e-05,0.00591101106331643,4.55976168619685e-05,5.29076328360316,1.85273170897751,4.71196224041246e-05,2.04343314877149e-06,0.993,0.00186426929385215,0.993,0.00186426929385215,0.999,0.000706753139363385,0.3195,0.0104264027833189,1,0,0,0.0305682330878847,2603.47586611629,3215.77567900659,7.54411189007994,2000,2000
25,4000,35,"below",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.0020160699195472,-0.00254695707686836,0.00012852569893058,0.00574784399328899,9.09041221425538e-05,0.00615437226249789,2.69574127624396e-05,7.072708822361,1.75713870536628,3.95081820673125e-05,1.32986227100084e-06,0.9915,0.00205277251540447,0.9915,0.00205277251540447,0.9885,0.00238408787589719,0.029,0.00375226598204338,1,0,0,0.0300794916402044,1201.90595804722,1265.75798548453,6.66414758494047,2000,2000
26,8000,35,"below",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.00100038764833968,-0.00132666387485599,6.79743500040713e-05,0.00303990534670933,4.8077144623569e-05,0.00310909509255386,1.41052386346653e-05,2.27604934868866,1.68276681281117,1.09964410415414e-05,4.31499791087967e-07,0.9855,0.00267298989897081,0.9855,0.00267298989897081,0.9915,0.00205277251540447,0.0295,0.0037835003634201,1,0,0,0.0150876452430911,2412.88423544288,2543.47729054206,7.0625747383872,2000,2000
27,4000,70,"boundary",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.00411421676707432,-0.00345105390069309,0.000182801828493018,0.00817514629843293,0.000129292739767064,0.0084431247663347,3.30388526305542e-05,3.27796541027212,1.68263062441398,7.87093735177702e-05,2.74705325370978e-06,0.9835,0.00284848644019942,0.9835,0.00284848644019942,0.989,0.00233227356885937,0.0415,0.00445969449626317,1,0,0,0.0418001814107204,1207.25059379727,1272.20310544013,6.68206478668424,2000,2000
28,8000,70,"boundary",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.00208119603009956,-0.00167851852916281,9.00843580844963e-05,0.00402869496772733,6.37151912697996e-05,0.00431067488281184,1.70921861788801e-05,6.99928679990329,1.74460343895714,1.90396924041629e-05,6.63879121267955e-07,0.9905,0.00216907238237915,0.9905,0.00216907238237915,0.993,0.00186426929385215,0.034,0.00405240669232494,1,0,0,0.0213150583237216,2418.25249770635,2553.75457842405,7.10043730937839,2000,2000
29,4000,140,"above",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.00869447109331417,-0.00409603839700444,0.000243598416068567,0.0108940523508118,0.000172293170566535,0.0114049609586288,3.71787505573947e-05,4.68979394778524,1.6905111665265,0.000135398566983653,4.38029489356571e-06,0.99,0.0022248595461287,0.99,0.0022248595461287,0.991,0.00211175282644537,0.078,0.00599649897857075,1,0,0,0.0572842489304497,1211.81137451274,1276.38262292339,6.69216588480146,2000,2000
30,8000,140,"above",4,"heterogeneous","bonferroni","effect_seeking",NA,-0.00438600882428121,-0.00211669161107323,0.000123571655065116,0.0055262924163551,8.74002080429386e-05,0.00587428645875594,1.94831760930249e-05,6.29706168589532,1.71769435155591,3.50050212935161e-05,1.15907013077501e-06,0.987,0.00253288373203351,0.987,0.00253288373203351,0.992,0.0019919839356782,0.0735,0.00583514138646186,1,0,0,0.0297318785969394,2431.19330363089,2564.09807538411,7.09477312002796,2000,2000
31,4000,35,"below",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.00177734796352482,-0.00439213303689108,0.000129234677069751,0.00577955045956392,9.14055707703053e-05,0.00613573691304239,5.87202416391463e-05,6.16287470747932,1.96247416063686,5.26773345266383e-05,2.18893701179538e-06,0.9965,0.00132055859392909,0.9965,0.00132055859392909,0.9955,0.00149662119455792,0.0145,0.00267298989897081,1,0,0,0.0305520307612182,1283.21169266485,1572.97912179195,7.12644865131384,2000,2000
32,8000,35,"below",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.000886663521185838,-0.00226663247859012,6.32744762427666e-05,0.00282972060239043,4.47530008763875e-05,0.00303034742750078,2.94561284297547e-05,7.08998708002699,1.98798608037306,1.31409378212487e-05,5.95430240891032e-07,0.9965,0.00132055859392909,0.9965,0.00132055859392909,0.998,0.000998999499499375,0.014,0.00262716577322406,1,0,0,0.0152709505959231,2627.637515475,3246.68615884439,7.61351988657306,2000,2000
33,4000,70,"boundary",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.00393036131227798,-0.00571867663261592,0.000178841306077027,0.00799802635146156,0.000126491527118953,0.00802978854519779,7.2182736861086e-05,0.397125394947295,1.826383014548,9.66397037343417e-05,4.17338785996049e-06,0.9965,0.00132055859392909,0.9965,0.00132055859392909,0.997,0.00122290637417588,0.0275,0.00365675744341896,1,0,0,0.0419731412453068,1320.56061386273,1630.45917744558,7.24145650437094,2000,2000
34,8000,70,"boundary",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.00195427587865105,-0.00290326195664009,8.80432984609937e-05,0.00393741600644169,6.2271583222079e-05,0.00400076196270723,3.55116614633967e-05,1.60882050974311,1.84277176557794,2.3924423174253e-05,1.03758088370597e-06,0.996,0.00141138230115019,0.996,0.00141138230115019,0.9975,0.00111663557170635,0.025,0.00349106001094224,1,0,0,0.0211111581203245,2660.16153763208,3288.68172745097,7.67396964071264,2000,2000
35,4000,140,"above",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.00893648013237938,-0.00671484757315916,0.000227444363009671,0.0101716211357753,0.000160867673373509,0.0102730624531246,7.2178212843859e-05,0.997297441531497,1.74783489165182,0.000148499323522246,5.94822416005929e-06,0.995,0.00157718102955875,0.995,0.00157718102955875,0.999,0.000706753139363385,0.0655,0.00553216729681958,1,0,0,0.0576342404357283,1338.48854349095,1649.11438431229,7.38116238504767,2000,2000
36,8000,140,"above",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.00445155685415281,-0.00317057254414007,0.000115754618581768,0.00517670391716788,8.18713461484871e-05,0.00520228348319077,3.77579415889677e-05,0.4941284344671,1.74872194456087,3.68373945719531e-05,1.56353993361497e-06,0.9965,0.00132055859392909,0.9965,0.00132055859392909,0.9975,0.00111663557170635,0.0615,0.00537204569973116,1,0,0,0.029416029362858,2687.77956520873,3316.21487698061,7.87421316747025,2000,2000
1,4000,35,"below",4,"null","bonferroni","outcome_blinded",NA,0,-8.31327736617799e-05,0.000154389338919525,0.00690450113650624,0.000109197051168958,0.00673013618660783,2.04438911263991e-05,-2.52538085592448,1.56977257044827,4.76552109341007e-05,1.64816719857616e-06,0.982,0.002972877394041,0.982,0.002972877394041,0.983,0.00289058817544112,0.018,0.002972877394041,1,0,0,0.0323591169940176,1207.89382238722,1273.91891599498,6.6814803897801,2000,2000
2,8000,35,"below",4,"null","bonferroni","outcome_blinded",NA,0,4.40610840029735e-05,7.56850286194976e-05,0.00338473737744428,5.35307813397349e-05,0.00340846030668786,1.02927609241852e-05,0.700879465617565,1.62139068638976,1.14526602698347e-05,3.45216727309053e-07,0.994,0.0017268468374468,0.994,0.0017268468374468,0.994,0.0017268468374468,0.006,0.0017268468374468,1,0,0,0.0164102934966048,2427.8021009837,2553.84799968596,7.06104018748733,2000,2000
3,4000,70,"boundary",4,"null","bonferroni","outcome_blinded",NA,0,0.000109597515995781,0.000208537866302888,0.00932609689872043,0.000147495417861796,0.00936060646238132,2.53283954916789e-05,0.37003222286518,1.61045174510726,8.6944606938153e-05,2.91117491252097e-06,0.9875,0.00248432586429397,0.9875,0.00248432586429397,0.988,0.00243474844696531,0.0125,0.00248432586429397,1,0,0,0.0447152817292967,1205.4983204359,1273.3558811622,6.69343293425685,2000,2000
