"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
33,4000,70,16,"heterogeneous","split","prognostic_low","c45-h36",0.0175,35,2000
34,8000,70,16,"heterogeneous","split","prognostic_low","c45-h36",0.016,32,2000
35,4000,140,16,"heterogeneous","split","prognostic_low","c45-h36",0.01,20,2000
36,8000,140,16,"heterogeneous","split","prognostic_low","c45-h36",0.009,18,2000
7,4000,35,16,"null","bonferroni","effect_seeking","c45-h48",0.0455,91,2000
8,8000,35,16,"null","bonferroni","effect_seeking","c45-h48",0.0575,115,2000
9,4000,70,16,"null","bonferroni","effect_seeking","c45-h48",0.0585,117,2000
10,8000,70,16,"null","bonferroni","effect_seeking","c45-h48",0.051,102,2000
11,4000,140,16,"null","bonferroni","effect_seeking","c45-h48",0.051,102,2000
12,8000,140,16,"null","bonferroni","effect_seeking","c45-h48",0.057,114,2000
19,4000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.0905,181,2000
20,8000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.0855,171,2000
21,4000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.099,198,2000
22,8000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.089,178,2000
23,4000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.095,190,2000
24,8000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.1025,205,2000
31,4000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.118,236,2000
32,8000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.1045,209,2000
33,4000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.1275,255,2000
34,8000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.1205,241,2000
35,4000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.1375,275,2000
36,8000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.1625,325,2000
7,4000,35,16,"null","naive","effect_seeking","c45-h48",0.0455,91,2000
8,8000,35,16,"null","naive","effect_seeking","c45-h48",0.0575,115,2000
9,4000,70,16,"null","naive","effect_seeking","c45-h48",0.0585,117,2000
10,8000,70,16,"null","naive","effect_seeking","c45-h48",0.051,102,2000
11,4000,140,16,"null","naive","effect_seeking","c45-h48",0.051,102,2000
12,8000,140,16,"null","naive","effect_seeking","c45-h48",0.057,114,2000
19,4000,35,16,"homogeneous","naive","effect_seeking","c45-h48",0.0905,181,2000
20,8000,35,16,"homogeneous","naive","effect_seeking","c45-h48",0.0855,171,2000
21,4000,70,16,"homogeneous","naive","effect_seeking","c45-h48",0.099,198,2000
22,8000,70,16,"homogeneous","naive","effect_seeking","c45-h48",0.089,178,2000
23,4000,140,16,"homogeneous","naive","effect_seeking","c45-h48",0.095,190,2000
24,8000,140,16,"homogeneous","naive","effect_seeking","c45-h48",0.1025,205,2000
31,4000,35,16,"heterogeneous","naive","effect_seeking","c45-h48",0.118,236,2000
32,8000,35,16,"heterogeneous","naive","effect_seeking","c45-h48",0.1045,209,2000
33,4000,70,16,"heterogeneous","naive","effect_seeking","c45-h48",0.1275,255,2000
34,8000,70,16,"heterogeneous","naive","effect_seeking","c45-h48",0.1205,241,2000
35,4000,140,16,"heterogeneous","naive","effect_seeking","c45-h48",0.1375,275,2000
36,8000,140,16,"heterogeneous","naive","effect_seeking","c45-h48",0.1625,325,2000
7,4000,35,16,"null","bonferroni","prognostic_high","c45-h48",0.029,58,2000
8,8000,35,16,"null","bonferroni","prognostic_high","c45-h48",0.0325,65,2000
9,4000,70,16,"null","bonferroni","prognostic_high","c45-h48",0.019,38,2000
10,8000,70,16,"null","bonferroni","prognostic_high","c45-h48",0.017,34,2000
11,4000,140,16,"null","bonferroni","prognostic_high","c45-h48",0.006,12,2000
12,8000,140,16,"null","bonferroni","prognostic_high","c45-h48",0.0075,15,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.0345,69,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.0325,65,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.0215,43,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.022,44,2000
