"precision","delta","cutoff","wrong_definitive","decision_rate","indeterminate"
"large",0.01,0.75,0.03043125,0.8011625,0.1988375
"medium",0.01,0.75,0.1290875,0.50425625,0.49574375
"small",0.01,0.75,0.43725625,0.9985125,0.0014875
"large",0.02,0.75,0.0303625000000001,0.85654375,0.14345625
"medium",0.02,0.75,0.0821312499999999,0.3905,0.6095
"small",0.02,0.75,0.2181,0.41409375,0.58590625
"large",0.03,0.75,0.0224875,0.884875,0.115125
"medium",0.03,0.75,0.07555,0.61954375,0.38045625
"small",0.03,0.75,0.14405625,0.23985,0.76015
"large",0.05,0.75,0.00133125,0.97668125,0.02331875
"medium",0.05,0.75,0.0258,0.8373875,0.1626125
"small",0.05,0.75,0.0801875,0.3329875,0.6670125
"large",0.01,0.76,0.02871875,0.790875,0.209125
"medium",0.01,0.76,0.121,0.48815,0.51185
"small",0.01,0.76,0.435225,0.9919,0.0081
"large",0.02,0.76,0.02874375,0.84970625,0.15029375
"medium",0.02,0.76,0.07615,0.36275625,0.63724375
"small",0.02,0.76,0.203825,0.39146875,0.60853125
"large",0.03,0.76,0.02115,0.87935,0.12065
"medium",0.03,0.76,0.07126875,0.6004125,0.3995875
"small",0.03,0.76,0.13561875,0.22773125,0.77226875
"large",0.05,0.76,0.00123124999999999,0.97524375,0.02475625
"medium",0.05,0.76,0.024325,0.82908125,0.17091875
"small",0.05,0.76,0.0754937499999999,0.31519375,0.68480625
"large",0.01,0.77,0.0272625,0.7802875,0.2197125
"medium",0.01,0.77,0.11315625,0.47241875,0.52758125
"small",0.01,0.77,0.42713125,0.97175,0.02825
"large",0.02,0.77,0.0270687499999999,0.84303125,0.15696875
"medium",0.02,0.77,0.06998125,0.3333375,0.6666625
"small",0.02,0.77,0.19075,0.3700375,0.6299625
"large",0.03,0.77,0.0198625,0.8736,0.1264
"medium",0.03,0.77,0.0667187500000001,0.579925,0.420075
"small",0.03,0.77,0.1275875,0.2160875,0.7839125
"large",0.05,0.77,0.00110625,0.97375625,0.02624375
"medium",0.05,0.77,0.0229375,0.82023125,0.17976875
"small",0.05,0.77,0.07085,0.29659375,0.70340625
"large",0.01,0.78,0.02535625,0.7689375,0.2310625
"medium",0.01,0.78,0.10591875,0.45701875,0.54298125
"small",0.01,0.78,0.41005625,0.934625,0.065375
"large",0.02,0.78,0.0253999999999999,0.8359625,0.1640375
"medium",0.02,0.78,0.063275,0.31071875,0.68928125
"small",0.02,0.78,0.178225,0.349325,0.650675
"large",0.03,0.78,0.0187,0.86803125,0.13196875
"medium",0.03,0.78,0.06244375,0.5592125,0.4407875
"small",0.03,0.78,0.11961875,0.2044375,0.7955625
"large",0.05,0.78,0.000993750000000003,0.97220625,0.0277937499999999
"medium",0.05,0.78,0.02159375,0.8116625,0.1883375
"small",0.05,0.78,0.066475,0.27676875,0.72323125
"large",0.01,0.79,0.02365625,0.7571625,0.2428375
"medium",0.01,0.79,0.098775,0.44156875,0.55843125
"small",0.01,0.79,0.3869125,0.8881875,0.1118125
"large",0.02,0.79,0.023875,0.8285,0.1715
"medium",0.02,0.79,0.0574125000000001,0.28974375,0.71025625
"small",0.02,0.79,0.166125,0.3294,0.6706
"large",0.03,0.79,0.01745625,0.861975,0.138025
"medium",0.03,0.79,0.05858125,0.53798125,0.46201875
"small",0.03,0.79,0.1124375,0.1934375,0.8065625
"large",0.05,0.79,0.000874999999999992,0.9707125,0.0292875
"medium",0.05,0.79,0.0203,0.80228125,0.19771875
"small",0.05,0.79,0.0621062500000001,0.25538125,0.74461875
"large",0.01,0.8,0.0220875,0.74478125,0.25521875
"medium",0.01,0.8,0.0924250000000001,0.42720625,0.57279375
"small",0.01,0.8,0.35740625,0.8395875,0.1604125
"large",0.02,0.8,0.0223125,0.82115625,0.17884375
"medium",0.02,0.8,0.0532625,0.2666125,0.7333875
"small",0.02,0.8,0.15475,0.3105375,0.6894625
"large",0.03,0.8,0.0165,0.85629375,0.14370625
"medium",0.03,0.8,0.0542124999999999,0.51454375,0.48545625
"small",0.03,0.8,0.10495,0.18241875,0.81758125
"large",0.05,0.8,0.000781250000000003,0.9688875,0.0311124999999999
"medium",0.05,0.8,0.01905,0.79275,0.20725
"small",0.05,0.8,0.0575937500000001,0.2301125,0.7698875
"large",0.01,0.81,0.0206375,0.7323875,0.2676125
"medium",0.01,0.81,0.08571875,0.41224375,0.58775625
"small",0.01,0.81,0.33608125,0.80376875,0.19623125
"large",0.02,0.81,0.02095625,0.81338125,0.18661875
"medium",0.02,0.81,0.0496,0.2414625,0.7585375
"small",0.02,0.81,0.14354375,0.29163125,0.70836875
"large",0.03,0.81,0.0153375,0.8503125,0.1496875
"medium",0.03,0.81,0.0502125000000001,0.4901,0.5099
"small",0.03,0.81,0.0977187500000002,0.17181875,0.82818125
"large",0.05,0.81,0.000668750000000009,0.96715625,0.0328437499999999
"medium",0.05,0.81,0.01766875,0.782775,0.217225
"small",0.05,0.81,0.05333125,0.20240625,0.79759375
"large",0.01,0.82,0.0190875,0.71815625,0.28184375
"medium",0.01,0.82,0.0794812500000001,0.39771875,0.60228125
"small",0.01,0.82,0.3195875,0.7736375,0.2263625
"large",0.02,0.82,0.01953125,0.80555625,0.19444375
"medium",0.02,0.82,0.0462062499999999,0.22241875,0.77758125
"small",0.02,0.82,0.1330375,0.27328125,0.72671875
"large",0.03,0.82,0.01429375,0.84413125,0.15586875
"medium",0.03,0.82,0.04638125,0.4642,0.5358
"small",0.03,0.82,0.0905437499999999,0.16108125,0.83891875
"large",0.05,0.82,0.000606250000000007,0.96525625,0.0347437500000001
"medium",0.05,0.82,0.016475,0.7722375,0.2277625
"small",0.05,0.82,0.0490875,0.1724625,0.8275375
"large",0.01,0.83,0.01754375,0.7033625,0.2966375
"medium",0.01,0.83,0.0732125,0.3826875,0.6173125
"small",0.01,0.83,0.27904375,0.69650625,0.30349375
"large",0.02,0.83,0.0180375,0.79709375,0.20290625
"medium",0.02,0.83,0.043025,0.21018125,0.78981875
"small",0.02,0.83,0.12255,0.25535625,0.74464375
"large",0.03,0.83,0.01330625,0.837525,0.162475
"medium",0.03,0.83,0.04226875,0.43681875,0.56318125
"small",0.03,0.83,0.0835624999999998,0.15078125,0.84921875
"large",0.05,0.83,0.000518749999999996,0.9632125,0.0367875
"medium",0.05,0.83,0.01519375,0.76129375,0.23870625
"small",0.05,0.83,0.04544375,0.14425,0.85575
"large",0.01,0.84,0.01593125,0.68705625,0.31294375
"medium",0.01,0.84,0.0669375,0.36733125,0.63266875
"small",0.01,0.84,0.23455625,0.597475,0.402525
"large",0.02,0.84,0.01659375,0.7885875,0.2114125
"medium",0.02,0.84,0.03995625,0.20144375,0.79855625
"small",0.02,0.84,0.11285625,0.238275,0.761725
"large",0.03,0.84,0.01246875,0.83080625,0.16919375
"medium",0.03,0.84,0.03783125,0.40511875,0.59488125
"small",0.03,0.84,0.0770000000000001,0.1403375,0.8596625
"large",0.05,0.84,0.000493750000000001,0.96115,0.03885
"medium",0.05,0.84,0.01386875,0.74986875,0.25013125
"small",0.05,0.84,0.0419,0.11738125,0.88261875
"large",0.01,0.85,0.014325,0.66964375,0.33035625
"medium",0.01,0.85,0.06144375,0.352025,0.647975
"small",0.01,0.85,0.20528125,0.5347,0.4653
"large",0.02,0.85,0.0153125,0.78034375,0.21965625
"medium",0.02,0.85,0.0368875,0.19288125,0.80711875
"small",0.02,0.85,0.10316875,0.22110625,0.77889375
"large",0.03,0.85,0.0114,0.82374375,0.17625625
"medium",0.03,0.85,0.03270625,0.36138125,0.63861875
"small",0.03,0.85,0.07098125,0.13091875,0.86908125
"large",0.05,0.85,0.000412499999999999,0.958625,0.041375
"medium",0.05,0.85,0.0126625,0.73730625,0.26269375
"small",0.05,0.85,0.0385625,0.0916874999999999,0.9083125
"large",0.01,0.86,0.01281875,0.6496375,0.3503625
"medium",0.01,0.86,0.05601875,0.33695625,0.66304375
"small",0.01,0.86,0.1803125,0.4811,0.5189
"large",0.02,0.86,0.0141,0.7710375,0.2289625
"medium",0.02,0.86,0.033675,0.18386875,0.81613125
"small",0.02,0.86,0.0941812499999998,0.204725,0.795275
"large",0.03,0.86,0.0104125,0.81609375,0.18390625
"medium",0.03,0.86,0.0281874999999999,0.323325,0.676675
"small",0.03,0.86,0.0647312500000001,0.1210625,0.8789375
"large",0.05,0.86,0.000356249999999991,0.9559875,0.0440125
"medium",0.05,0.86,0.01129375,0.7243375,0.2756625
"small",0.05,0.86,0.0349375,0.07038125,0.92961875
"large",0.01,0.87,0.01134375,0.62424375,0.37575625
"medium",0.01,0.87,0.0504125,0.32161875,0.67838125
"small",0.01,0.87,0.15965,0.43470625,0.56529375
"large",0.02,0.87,0.01284375,0.76185625,0.23814375
"medium",0.02,0.87,0.03075625,0.17500625,0.82499375
"small",0.02,0.87,0.08544375,0.18864375,0.81135625
"large",0.03,0.87,0.00948750000000001,0.8086,0.1914
"medium",0.03,0.87,0.0240125,0.29140625,0.70859375
"small",0.03,0.87,0.05870625,0.111375,0.888625
"large",0.05,0.87,0.000306250000000001,0.95319375,0.04680625
"medium",0.05,0.87,0.01023125,0.70996875,0.29003125
"small",0.05,0.87,0.03185,0.05459375,0.94540625
"large",0.01,0.88,0.0101875,0.59693125,0.40306875
"medium",0.01,0.88,0.045025,0.3061125,0.6938875
"small",0.01,0.88,0.1403375,0.39125625,0.60874375
"large",0.02,0.88,0.0115875,0.7518875,0.2481125
"medium",0.02,0.88,0.02765625,0.16570625,0.83429375
"small",0.02,0.88,0.0767125,0.17295625,0.82704375
"large",0.03,0.88,0.00859374999999999,0.800075,0.199925
"medium",0.03,0.88,0.02165625,0.2726,0.7274
"small",0.03,0.88,0.05313125,0.10233125,0.89766875
"large",0.05,0.88,0.000262500000000001,0.95025,0.04975
"medium",0.05,0.88,0.00909999999999998,0.6953375,0.3046625
"small",0.05,0.88,0.02854375,0.043675,0.956325
"large",0.01,0.89,0.00911875000000001,0.5765875,0.4234125
"medium",0.01,0.89,0.04016875,0.2904125,0.7095875
"small",0.01,0.89,0.12311875,0.35150625,0.64849375
"large",0.02,0.89,0.010425,0.74125,0.25875
"medium",0.02,0.89,0.02466875,0.15616875,0.84383125
"small",0.02,0.89,0.06830625,0.1576125,0.8423875
"large",0.03,0.89,0.00777499999999999,0.79186875,0.20813125
"medium",0.03,0.89,0.0191125,0.25248125,0.74751875
"small",0.03,0.89,0.04754375,0.0929187499999999,0.90708125
"large",0.05,0.89,0.000218750000000009,0.94715625,0.05284375
