"scenario","family","baseline_risk","mismatch","precision","n_trial","n_emulation","delta","delta_raw_true","truth_class","method","cutoff","wrong_definitive","wrong_definitive_mcse","correct_definitive","correct_definitive_mcse","indeterminate","indeterminate_mcse","decision_rate","decision_rate_mcse","convergence","n_used","compatibility_mean"
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.77,0.2193,0.00413792982617244,0,0,0.7807,0.00413792982617244,0.2193,0.00413792982617244,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.78,0.2054,0.00404013815006684,0,0,0.7946,0.00404013815006684,0.2054,0.00404013815006684,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.79,0.1914,0.00393422823628503,0,0,0.8086,0.00393422823628503,0.1914,0.00393422823628503,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.8,0.1772,0.00381856964679346,0,0,0.8228,0.00381856964679346,0.1772,0.00381856964679346,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.81,0.1654,0.00371559747099402,0,0,0.8346,0.00371559747099402,0.1654,0.00371559747099402,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.82,0.152,0.00359038843148068,0,0,0.848,0.00359038843148068,0.152,0.00359038843148068,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.83,0.1395,0.00346484855622161,0,0,0.8605,0.00346484855622161,0.1395,0.00346484855622161,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.84,0.1286,0.00334773426849798,0,0,0.8714,0.00334773426849798,0.1286,0.00334773426849798,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.85,0.1164,0.00320720012055062,0,0,0.8836,0.00320720012055062,0.1164,0.00320720012055062,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.86,0.1049,0.00306439848156278,0,0,0.8951,0.00306439848156278,0.1049,0.00306439848156278,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.87,0.0924000000000002,0.00289604259400132,0,0,0.9076,0.00289604259400132,0.0924000000000002,0.00289604259400132,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.88,0.0821000000000001,0.00274530739103443,0,0,0.9179,0.00274530739103443,0.0821000000000001,0.00274530739103443,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.89,0.0714999999999998,0.00257671087704766,0,0,0.9285,0.00257671087704766,0.0714999999999998,0.00257671087704766,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.9,0.0620000000000001,0.00241167610142027,0,0,0.938,0.00241167610142027,0.0620000000000001,0.00241167610142027,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.91,0.0549,0.00227796354487768,0,0,0.9451,0.00227796354487768,0.0549,0.00227796354487768,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.92,0.0474,0.00212503542971812,0,0,0.9526,0.00212503542971812,0.0474,0.00212503542971812,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.93,0.0393999999999999,0.00194554427198453,0,0,0.9606,0.00194554427198453,0.0393999999999999,0.00194554427198453,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.94,0.0318999999999999,0.00175742648631045,0,0,0.9681,0.00175742648631045,0.0318999999999999,0.00175742648631045,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.95,0.0259,0.00158844934358383,0,0,0.9741,0.00158844934358383,0.0259,0.00158844934358383,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.96,0.0193,0.0013758416675,0,0,0.9807,0.0013758416675,0.0193,0.0013758416675,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.97,0.0136,0.00115829105315386,0,0,0.9864,0.00115829105315386,0.0136,0.00115829105315386,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.98,0.00840000000000003,0.00091270329391875,0,0,0.9916,0.00091270329391875,0.00840000000000003,0.00091270329391875,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.02,0,"aligned","compatibility",0.99,0.00339999999999996,0.00058213219099174,0,0,0.9966,0.00058213219099174,0.00339999999999996,0.00058213219099174,1,10000,0.323006373766051
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","forced-plugin",NA,0.3699,0.00482801511731245,0.6301,0.00482801511731245,0,0,1,0,1,10000,NA
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","joint-uncertainty",NA,0.0113999999999999,0.00106165753031334,0,0,0.9886,0.00106165753031334,0.0113999999999999,0.00106165753031334,1,10000,NA
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.5,0.4522,0.0049773480287541,0.5478,0.0049773480287541,0,0,1,0,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.51,0.4309,0.00495226932800971,0.527,0.00499295433178529,0.0421000000000002,0.00200827346649596,0.9579,0.00200827346649596,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.52,0.4095,0.00491766136891629,0.5028,0.00500017161421697,0.0877,0.00282872253272003,0.9123,0.00282872253272003,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.53,0.3888,0.00487502129054461,0.4785,0.00499562514877383,0.1327,0.00339267181174409,0.8673,0.00339267181174409,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.54,0.3703,0.00482909132366561,0.452,0.00497715553380862,0.1777,0.00382279117572987,0.8223,0.00382279117572987,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.55,0.3523,0.00477710718691839,0.4222,0.00493934770142455,0.2255,0.00417932071898841,0.7745,0.00417932071898841,1,10000,0.467880599008097
