"scenario","family","baseline_risk","mismatch","precision","delta","truth_class","mean_se_trial","mean_se_emulation","mean_se_delta","direction_agreement","interval_overlap","forced_aligned","forced_wrong","joint_aligned","joint_mismatched","joint_indeterminate","joint_wrong"
12,"probit","common","hidden_u_shift","small",0.03,"mismatched",0.0442324382419978,0.0135592276832479,0.046264038390507,0.996085565940516,0.947411771056591,0.360116167123434,0.360116167123434,0,0.0716636939236257,0.928336306076374,0
12,"probit","common","hidden_u_shift","small",0.05,"aligned",0.0442324382419978,0.0135592276832479,0.046264038390507,0.996085565940516,0.947411771056591,0.573209305635121,0.426790694364879,0,0.0287437359715667,0.971256264028433,0.0287437359715667
13,"logit","lower","measurement_mismatch","small",0.01,"aligned",0.0325729763115476,0.0105283586440379,0.0342322234383064,0.725587721122304,0.985859061281261,0.228515816620307,0.771484183379693,0,0.0541219393654613,0.945878060634539,0.0541219393654613
13,"logit","lower","measurement_mismatch","small",0.02,"aligned",0.0325729763115476,0.0105283586440379,0.0342322234383064,0.725587721122304,0.985859061281261,0.438671788771297,0.561328211228703,0,0.0266686040739642,0.973331395926036,0.0266686040739642
13,"logit","lower","measurement_mismatch","small",0.03,"aligned",0.0325729763115476,0.0105283586440379,0.0342322234383064,0.725587721122304,0.985859061281261,0.616414447678626,0.383585552321374,0,0.0121822168779768,0.987817783122023,0.0121822168779768
13,"logit","lower","measurement_mismatch","small",0.05,"aligned",0.0325729763115476,0.0105283586440379,0.0342322234383064,0.725587721122304,0.985859061281261,0.853554917189107,0.146445082810893,0,0.00201618638706558,0.997983813612934,0.00201618638706558
14,"probit","lower","measurement_mismatch","small",0.01,"aligned",0.0357692855017611,0.0111755713370228,0.0374744603699024,0.825811054856294,0.984767117672307,0.207974501658798,0.792025498341202,0,0.0588482485710934,0.941151751428907,0.0588482485710934
14,"probit","lower","measurement_mismatch","small",0.02,"aligned",0.0357692855017611,0.0111755713370228,0.0374744603699024,0.825811054856294,0.984767117672307,0.402061885039194,0.597938114960806,0,0.0313064645961316,0.968693535403868,0.0313064645961316
14,"probit","lower","measurement_mismatch","small",0.03,"aligned",0.0357692855017611,0.0111755713370228,0.0374744603699024,0.825811054856294,0.984767117672307,0.571093991152042,0.428906008847958,0,0.0156479476689152,0.984352052331085,0.0156479476689152
14,"probit","lower","measurement_mismatch","small",0.05,"aligned",0.0357692855017611,0.0111755713370228,0.0374744603699024,0.825811054856294,0.984767117672307,0.812667558005234,0.187332441994766,0,0.00323062783193095,0.996769372168069,0.00323062783193095
15,"logit","common","measurement_mismatch","small",0.01,"aligned",0.0430084988769891,0.0135574863478459,0.0450947492699982,0.892884542634031,0.984086001423278,0.17201750597774,0.82798249402226,0,0.0672729374250557,0.932727062574944,0.0672729374250557
15,"logit","common","measurement_mismatch","small",0.02,"aligned",0.0430084988769891,0.0135574863478459,0.0450947492699982,0.892884542634031,0.984086001423278,0.336138738289261,0.66386126171074,0,0.0406129901505362,0.959387009849464,0.0406129901505362
15,"logit","common","measurement_mismatch","small",0.03,"aligned",0.0430084988769891,0.0135574863478459,0.0450947492699982,0.892884542634031,0.984086001423278,0.485537015667005,0.514462984332996,0,0.0235038709741022,0.976496129025898,0.0235038709741022
15,"logit","common","measurement_mismatch","small",0.05,"aligned",0.0430084988769891,0.0135574863478459,0.0450947492699982,0.892884542634031,0.984086001423278,0.722795817797518,0.277204182202482,0,0.00691846305523891,0.993081536944761,0.00691846305523891
16,"probit","common","measurement_mismatch","small",0.01,"mismatched",0.0444466547701418,0.0137782703158818,0.0465332768366217,0.986728921461129,0.979333823773268,0.159626158888327,0.159626158888327,0,0.0800742379953058,0.919925762004694,0
16,"probit","common","measurement_mismatch","small",0.02,"aligned",0.0444466547701418,0.0137782703158818,0.0465332768366217,0.986728921461129,0.979333823773268,0.312981941751143,0.687018058248857,0,0.0506703322226298,0.94932966777737,0.0506703322226298
16,"probit","common","measurement_mismatch","small",0.03,"aligned",0.0444466547701418,0.0137782703158818,0.0465332768366217,0.986728921461129,0.979333823773268,0.45451635750541,0.54548364249459,0,0.0308701018596339,0.969129898140366,0.0308701018596339
16,"probit","common","measurement_mismatch","small",0.05,"aligned",0.0444466547701418,0.0137782703158818,0.0465332768366217,0.986728921461129,0.979333823773268,0.686795748517371,0.313204251482629,0,0.0101945078784316,0.989805492121568,0.0101945078784316
1,"logit","lower","aligned","medium",0.01,"aligned",0.0145950864468454,0.00477421188767457,0.0153560948010653,0.931308042817211,0.98657104922602,0.485087277889142,0.514912722110858,0,0.0216723805070216,0.978327619492978,0.0216723805070216
1,"logit","lower","aligned","medium",0.02,"aligned",0.0145950864468454,0.00477421188767457,0.0153560948010653,0.931308042817211,0.98657104922602,0.80722525971223,0.19277474028777,0,0.00320594736165247,0.996794052638348,0.00320594736165247
1,"logit","lower","aligned","medium",0.03,"aligned",0.0145950864468454,0.00477421188767457,0.0153560948010653,0.931308042817211,0.98657104922602,0.949254027369269,0.0507459726307309,0.24250175747442,0.000320087753936438,0.757178154771643,0.000320087753936438
1,"logit","lower","aligned","medium",0.05,"aligned",0.0145950864468454,0.00477421188767457,0.0153560948010653,0.931308042817211,0.98657104922602,0.998870206394183,0.00112979360581722,0.892859975728221,9.54033862909931e-07,0.107139070237916,9.54033862909931e-07
2,"probit","lower","aligned","medium",0.01,"aligned",0.0160125446036133,0.00506435738582874,0.0167943234580647,0.983315981952427,0.986096921776165,0.44845012961848,0.55154987038152,0,0.0250718887213903,0.97492811127861,0.0250718887213903
2,"probit","lower","aligned","medium",0.02,"aligned",0.0160125446036133,0.00506435738582874,0.0167943234580647,0.983315981952427,0.986096921776165,0.76629874373673,0.23370125626327,0,0.0045720711997822,0.995427928800218,0.0045720711997822
2,"probit","lower","aligned","medium",0.03,"aligned",0.0160125446036133,0.00506435738582874,0.0167943234580647,0.983315981952427,0.986096921776165,0.925952193852133,0.0740478061478673,0.112496494406003,0.000600979718742845,0.886902525875254,0.000600979718742845
2,"probit","lower","aligned","medium",0.05,"aligned",0.0160125446036133,0.00506435738582874,0.0167943234580647,0.983315981952427,0.986096921776165,0.997091024422016,0.00290897557798409,0.817252312586324,3.79965593877429e-06,0.182743887757738,3.79965593877429e-06
3,"logit","common","aligned","medium",0.01,"aligned",0.0192493907415859,0.00618307768443769,0.0202180487083705,0.997282285799463,0.986316126607794,0.379122844425217,0.620877155574783,0,0.0323983048663021,0.967601695133698,0.0323983048663021
3,"logit","common","aligned","medium",0.02,"aligned",0.0192493907415859,0.00618307768443769,0.0202180487083705,0.997282285799463,0.986316126607794,0.677442110333991,0.322557889666009,0,0.00843683045779808,0.991563169542202,0.00843683045779808
3,"logit","common","aligned","medium",0.03,"aligned",0.0192493907415859,0.00618307768443769,0.0202180487083705,0.997282285799463,0.986316126607794,0.862144041668087,0.137855958331913,0,0.0017559538493569,0.998244046150643,0.0017559538493569
3,"logit","common","aligned","medium",0.05,"aligned",0.0192493907415859,0.00618307768443769,0.0202180487083705,0.997282285799463,0.986316126607794,0.986603005207031,0.0133969947929693,0.592433619579361,3.82354020520559e-05,0.407528145018587,3.82354020520559e-05
4,"probit","common","aligned","medium",0.01,"aligned",0.0198920946470869,0.0060546331711232,0.0207931241588543,0.999999640736236,0.985544628093774,0.369432478173208,0.630567521826792,0,0.0335213979027996,0.9664786020972,0.0335213979027996
4,"probit","common","aligned","medium",0.02,"aligned",0.0198920946470869,0.0060546331711232,0.0207931241588543,0.999999640736236,0.985544628093774,0.663878268517666,0.336121731482334,0,0.00914166354411339,0.990858336455887,0.00914166354411339
4,"probit","common","aligned","medium",0.03,"aligned",0.0198920946470869,0.0060546331711232,0.0207931241588543,0.999999640736236,0.985544628093774,0.850918850540599,0.149081149459401,0,0.00201753642932234,0.997982463570678,0.00201753642932234
4,"probit","common","aligned","medium",0.05,"aligned",0.0198920946470869,0.0060546331711232,0.0207931241588543,0.999999640736236,0.985544628093774,0.983811642485754,0.0161883575142463,0.55261811765117,5.13282625197453e-05,0.44733055408631,5.13282625197453e-05
5,"logit","lower","observed_z_shift","medium",0.01,"mismatched",0.0139649432433024,0.00499636178466521,0.0148318330246777,0.980270640169746,0.893597918203156,0.252660099586803,0.252660099586803,0,0.144797777064499,0.855202222935501,0
5,"logit","lower","observed_z_shift","medium",0.02,"aligned",0.0139649432433024,0.00499636178466521,0.0148318330246777,0.980270640169746,0.893597918203156,0.530957938762272,0.469042061237728,0,0.0414701202712587,0.958529879728741,0.0414701202712587
5,"logit","lower","observed_z_shift","medium",0.03,"aligned",0.0139649432433024,0.00499636178466521,0.0148318330246777,0.980270640169746,0.893597918203156,0.776861943962522,0.223138056037478,0.138225480463036,0.00801568326573388,0.85375883627123,0.00801568326573388
5,"logit","lower","observed_z_shift","medium",0.05,"aligned",0.0139649432433024,0.00499636178466521,0.0148318330246777,0.980270640169746,0.893597918203156,0.982647088175113,0.0173529118248869,0.678321530327393,8.60945931056012e-05,0.321592375079502,8.60945931056012e-05
6,"probit","lower","observed_z_shift","medium",0.01,"mismatched",0.0150116812905612,0.00538851288770313,0.0159495030113896,0.999231900412364,0.711394919028988,0.0880199041704202,0.0880199041704202,0,0.373579556738064,0.626420443261936,0
6,"probit","lower","observed_z_shift","medium",0.02,"mismatched",0.0150116812905612,0.00538851288770313,0.0159495030113896,0.999231900412364,0.711394919028988,0.242705771566711,0.242705771566711,0,0.171209632241244,0.828790367758756,0
6,"probit","lower","observed_z_shift","medium",0.03,"mismatched",0.0150116812905612,0.00538851288770313,0.0159495030113896,0.999231900412364,0.711394919028988,0.47263906063238,0.47263906063238,0.0288995815561708,0.057469472401417,0.913630946042412,0.0288995815561708
6,"probit","lower","observed_z_shift","medium",0.05,"aligned",0.0150116812905612,0.00538851288770313,0.0159495030113896,0.999231900412364,0.711394919028988,0.882086107077607,0.117913892922393,0.322691635794254,0.00232496616779976,0.674983398037946,0.00232496616779976
7,"logit","common","observed_z_shift","medium",0.01,"mismatched",0.0188787017476338,0.00632123874232388,0.0199088783941629,0.999926587426409,0.74433162938065,0.0831210006872766,0.0831210006872766,0,0.37335522110876,0.62664477889124,0
7,"logit","common","observed_z_shift","medium",0.02,"mismatched",0.0188787017476338,0.00632123874232388,0.0199088783941629,0.999926587426409,0.74433162938065,0.203915839933394,0.203915839933394,0,0.204586666256593,0.795413333743407,0
7,"logit","common","observed_z_shift","medium",0.03,"mismatched",0.0188787017476338,0.00632123874232388,0.0199088783941629,0.999926587426409,0.74433162938065,0.37511211859401,0.37511211859401,0,0.0921469918250992,0.907853008174901,0
7,"logit","common","observed_z_shift","medium",0.05,"aligned",0.0188787017476338,0.00632123874232388,0.0199088783941629,0.999926587426409,0.74433162938065,0.754069258830375,0.245930741169625,0.165596993745858,0.00984434533823142,0.82455866091591,0.00984434533823142
