"scenario","start","p_eligible","risk1","risk0","rd","rd_lo","rd_hi","h_key","h_label","a","adoption","b","background","sentinel"
9,20,0.313085,0.0899260584186403,0.195916444416053,-0.105990385997413,-0.107513670962596,-0.104467101032229,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
9,22,0.2822635,0.0817569398806434,0.189234527312245,-0.107477587431602,-0.108728107783098,-0.106227067080106,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE
10,0,1,0.1252435,0.214446,-0.0892025,-0.0898960851553257,-0.0885089148446743,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
10,2,0.9168955,0.126780532786997,0.216148950452914,-0.0893684176659172,-0.089944814901997,-0.0887920204298374,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
10,4,0.8369755,0.126930238698743,0.216612075263852,-0.0896818365651085,-0.0903749861179335,-0.0889886870122836,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
10,6,0.7600735,0.127353473052277,0.217631584313885,-0.0902781112616083,-0.0910952540300227,-0.0894609684931938,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
10,8,0.6859505,0.126872128528225,0.217657833910756,-0.0907857053825312,-0.0916007239625376,-0.0899706868025248,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
10,10,0.6147325,0.126862497102398,0.217977738284538,-0.0911152411821402,-0.0917935555191615,-0.0904369268451189,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
10,12,0.5472625,0.126432927525639,0.217538201502935,-0.0911052739772961,-0.091811075586201,-0.0903994723683912,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
10,14,0.4833925,0.123999648318913,0.214924724731972,-0.0909250764130598,-0.0919321696049421,-0.0899179832211774,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
10,16,0.423187,0.120980795723876,0.209921382273085,-0.0889405865492087,-0.0898747107768903,-0.0880064623215272,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
10,18,0.3668175,0.11693825948871,0.203633959666592,-0.0866957001778814,-0.0877704587476004,-0.0856209416081623,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
10,20,0.314926,0.112615344557134,0.195758686167544,-0.0831433416104101,-0.0843772716052861,-0.0819094116155341,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
10,22,0.2670915,0.10513063875114,0.185105104430504,-0.0799744656793646,-0.0810987669000834,-0.0788501644586457,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,0,1,0.0966195,0.214446,-0.1178265,-0.11848215303045,-0.11717084696955,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,2,0.9168955,0.102387894803715,0.216148950452914,-0.113761055649199,-0.114504053541994,-0.113018057756404,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,4,0.8369755,0.107719998972491,0.216612075263852,-0.108892076291361,-0.109524219547842,-0.10825993303488,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,6,0.7600735,0.113210104022835,0.217631584313885,-0.104421480291051,-0.105216787767472,-0.103626172814629,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,8,0.6859505,0.118265093472488,0.217657833910756,-0.0993927404382678,-0.100208982253993,-0.0985764986225426,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,10,0.6147325,0.123865258466081,0.217977738284538,-0.0941124798184576,-0.0948349465672045,-0.0933900130697108,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,12,0.5472625,0.129405906671844,0.217538201502935,-0.0881322948310911,-0.0888217105966996,-0.0874428790654827,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,14,0.4833925,0.133047161468165,0.214924724731972,-0.0818775632638074,-0.0828581156722429,-0.0808970108553718,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,16,0.423187,0.136309716508305,0.209921382273085,-0.0736116657647801,-0.0744889605199584,-0.0727343710096018,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,18,0.3668175,0.138221322592297,0.203633959666592,-0.0654126370742945,-0.0662974434713208,-0.0645278306772681,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,20,0.314926,0.13922794561262,0.195758686167544,-0.056530740554924,-0.0576060441254406,-0.0554554369844074,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
11,22,0.2670915,0.137524032026478,0.185105104430504,-0.0475810724040263,-0.0484787591447316,-0.0466833856633211,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE
12,0,1,0.0966195,0.214446,-0.1178265,-0.118483553556318,-0.117169446443682,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
12,2,0.9168955,0.101759687990616,0.216148950452914,-0.114389262462298,-0.115146292870245,-0.113632232054351,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
12,4,0.8369755,0.114105490543033,0.216612075263852,-0.102506584720819,-0.10319808282952,-0.101815086612118,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
12,6,0.7600735,0.132113539019582,0.217631584313885,-0.0855180452943038,-0.0863749517614518,-0.0846611388271557,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
12,8,0.6859505,0.150055288246018,0.217657833910756,-0.0676025456647382,-0.0683216835250793,-0.0668834078043971,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
12,10,0.6147325,0.16161663813122,0.217977738284538,-0.0563611001533187,-0.0570355133131692,-0.0556866869934683,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
12,12,0.5472625,0.161364062036043,0.217538201502935,-0.056174139466892,-0.0568580892958378,-0.0554901896379463,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
12,14,0.4833925,0.14698097301882,0.214924724731972,-0.0679437517131524,-0.0687831514501599,-0.0671043519761449,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
12,16,0.423187,0.125574509613953,0.209921382273085,-0.0843468726591318,-0.0852004455776943,-0.0834932997405693,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
12,18,0.3668175,0.104410231245783,0.203633959666592,-0.0992237284208087,-0.100252234241125,-0.0981952226004922,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
12,20,0.314926,0.0896797977937674,0.195758686167544,-0.106078888373777,-0.107644105698061,-0.104513671049492,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
12,22,0.2670915,0.0798565285679252,0.185105104430504,-0.105248575862579,-0.106620565252714,-0.103876586472444,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE
