"scenario","mortality_key","death_effect_key","outcome_effect_key","q_key","beta_DA","gamma","beta_YA","beta_YAC","horizon","total_risk_1","total_risk_0","net_risk_1","net_risk_0","total_rd","net_rd","displacement","absolute_displacement","total_rd_mcse","net_rd_mcse","displacement_mcse","displacement_ci_low","displacement_ci_high","absolute_displacement_ci_low","absolute_displacement_ci_high","direction_class","displacement_class","truth_batches","truth_n","truth_mcse_max","truth_elapsed_sec"
13,"low","neutral","heterogeneous_protective","none",0,0,-0.510826,0.405465,12,0.0352187199505471,0.0449144434077431,0.0355658808023546,0.0453240698776696,-0.00969572345719601,-0.00975818907531505,-6.24656181190374e-05,6.24656181190374e-05,3.58215865139487e-06,3.60562702113323e-06,5.25373436032957e-08,-6.25692194775736e-05,-6.23620167605013e-05,6.23620167605013e-05,6.25692194775736e-05,"concordant-direction","not-material",200,2000000,3.60562702113323e-06,15.012
13,"low","neutral","heterogeneous_protective","none",0,0,-0.510826,0.405465,36,0.132515250428069,0.167770248769365,0.13759209679272,0.173674105421568,-0.0352549983412959,-0.0360820086288483,-0.00082701028755241,0.00082701028755241,1.34572097101469e-05,1.37226553767777e-05,5.54533283995883e-07,-0.000828103803090791,-0.000825916772014029,0.000825916772014029,0.000828103803090791,"concordant-direction","not-material",200,2000000,1.37226553767777e-05,15.012
13,"low","neutral","heterogeneous_protective","none",0,0,-0.510826,0.405465,60,0.244991752580719,0.307009366001671,0.263049235104562,0.32760160390572,-0.0620176134209526,-0.064552368801158,-0.0025347553802054,0.0025347553802054,2.5199940331308e-05,2.60682798658517e-05,1.44915519633544e-06,-0.00253761305127845,-0.00253189770913235,0.00253189770913235,0.00253761305127845,"concordant-direction","not-material",200,2000000,2.60682798658517e-05,15.012
14,"moderate","neutral","heterogeneous_protective","none",0,0,-0.510826,0.405465,12,0.0343499278621786,0.0438877237856662,0.0355658808023546,0.0453240698776696,-0.0095377959234876,-0.00975818907531505,-0.000220393151827448,0.000220393151827448,3.52513506985906e-06,3.60562702113323e-06,1.80062364760453e-07,-0.000220748226986011,-0.000220038076668885,0.000220038076668885,0.000220748226986011,"concordant-direction","not-material",200,2000000,3.60562702113323e-06,14.622
14,"moderate","neutral","heterogeneous_protective","none",0,0,-0.510826,0.405465,36,0.120699340222202,0.153935884744118,0.13759209679272,0.173674105421568,-0.0332365445219169,-0.0360820086288483,-0.00284546410693141,0.00284546410693141,1.28352948434804e-05,1.37226553767777e-05,1.79853462043785e-06,-0.00284901073904624,-0.00284191747481657,0.00284191747481657,0.00284901073904624,"concordant-direction","not-material",200,2000000,1.37226553767777e-05,14.622
14,"moderate","neutral","heterogeneous_protective","none",0,0,-0.510826,0.405465,60,0.207062544622918,0.26313492376648,0.263049235104562,0.32760160390572,-0.0560723791435615,-0.064552368801158,-0.00847998965759653,0.00847998965759653,2.31996993698257e-05,2.60682798658517e-05,4.6295586042661e-06,-0.00848911894598321,-0.00847086036920985,0.00847086036920985,0.00848911894598321,"concordant-direction","not-material",200,2000000,2.60682798658517e-05,14.622
15,"high","neutral","heterogeneous_protective","none",0,0,-0.510826,0.405465,12,0.03298102682837,0.0422652040593303,0.0355658808023546,0.0453240698776696,-0.00928417723096027,-0.00975818907531505,-0.000474011844354778,0.000474011844354778,3.43922513065863e-06,3.60562702113323e-06,3.70830210785737e-07,-0.000474743105415743,-0.000473280583293812,0.000473280583293812,0.000474743105415743,"concordant-direction","not-material",200,2000000,3.60562702113323e-06,15.206
15,"high","neutral","heterogeneous_protective","none",0,0,-0.510826,0.405465,36,0.104546857376424,0.134789423366207,0.13759209679272,0.173674105421568,-0.0302425659897835,-0.0360820086288483,-0.00583944263906482,0.00583944263906482,1.1938334575954e-05,1.37226553767777e-05,3.42747089473273e-06,-0.00584620146272592,-0.00583268381540371,0.00583268381540371,0.00584620146272592,"concordant-direction","not-material",200,2000000,1.37226553767777e-05,15.206
15,"high","neutral","heterogeneous_protective","none",0,0,-0.510826,0.405465,60,0.16341190581778,0.211449350771267,0.263049235104562,0.32760160390572,-0.0480374449534865,-0.064552368801158,-0.0165149238476716,0.0165149238476716,2.04900648630549e-05,2.60682798658517e-05,8.53481767449436e-06,-0.0165317541372388,-0.0164980935581043,0.0164980935581043,0.0165317541372388,"concordant-direction","material",200,2000000,2.60682798658517e-05,15.206
16,"low","protective","heterogeneous_protective","none",-0.510826,0,-0.510826,0.405465,12,0.0353566849269774,0.0449144434077431,0.0355658808023546,0.0453240698776696,-0.0095577584807657,-0.00975818907531505,-0.000200430594549351,0.000200430594549351,3.60193729979409e-06,3.60562702113323e-06,2.22148609684981e-07,-0.000200868661954015,-0.000199992527144686,0.000199992527144686,0.000200868661954015,"concordant-direction","not-material",200,2000000,3.60562702113323e-06,11.845
