"formal_scenario","pair_id","method","own_target","psi","mapped_equal","exact_change","functional_discrepancy"
6,3,"validation-50",-0.06,-0.06,-0.06,0,0
6,3,"validation-100",-0.06,-0.06,-0.06,0,0
6,3,"validation-200",-0.06,-0.06,-0.06,0,0
6,3,"site-exclusion-200",NA,-0.06,-0.06,0,NA
7,1,"historical-fixed",-0.0735244943156239,-0.0735630784463202,-0.0735630784463202,0,3.85841306962259e-05
7,1,"historical-dl",-0.0735244943156239,-0.0735630784463202,-0.0735630784463202,0,3.85841306962259e-05
7,1,"historical-q-gate",-0.0735244943156239,-0.0735630784463202,-0.0735630784463202,0,3.85841306962259e-05
7,1,"commonq-fixed",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,1.38777878078145e-17
7,1,"pm-hk",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,1.38777878078145e-17
7,1,"equalq",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,1,"aggregate-gate",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,1,"validation-50",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,1,"validation-100",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,1,"validation-200",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,1,"site-exclusion-200",NA,-0.0735630784463202,-0.0735630784463202,0,NA
7,2,"historical-fixed",-0.0735244943156239,-0.0735630784463202,-0.0735630784463202,0,3.85841306962259e-05
7,2,"historical-dl",-0.0735244943156239,-0.0735630784463202,-0.0735630784463202,0,3.85841306962259e-05
7,2,"historical-q-gate",-0.0735244943156239,-0.0735630784463202,-0.0735630784463202,0,3.85841306962259e-05
7,2,"commonq-fixed",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,1.38777878078145e-17
7,2,"pm-hk",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,1.38777878078145e-17
7,2,"equalq",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,2,"aggregate-gate",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,2,"validation-50",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,2,"validation-100",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,2,"validation-200",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,2,"site-exclusion-200",NA,-0.0735630784463202,-0.0735630784463202,0,NA
7,3,"historical-fixed",-0.0735244943156239,-0.0735630784463202,-0.0735630784463202,0,3.85841306962259e-05
7,3,"historical-dl",-0.0735244943156239,-0.0735630784463202,-0.0735630784463202,0,3.85841306962259e-05
7,3,"historical-q-gate",-0.0735244943156239,-0.0735630784463202,-0.0735630784463202,0,3.85841306962259e-05
7,3,"commonq-fixed",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,1.38777878078145e-17
7,3,"pm-hk",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,1.38777878078145e-17
7,3,"equalq",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,3,"aggregate-gate",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,3,"validation-50",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,3,"validation-100",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,3,"validation-200",-0.0735630784463202,-0.0735630784463202,-0.0735630784463202,0,0
7,3,"site-exclusion-200",NA,-0.0735630784463202,-0.0735630784463202,0,NA
8,1,"historical-fixed",-0.0724995355738087,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.00106354287251142
8,1,"historical-dl",-0.0724995355738087,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.00106354287251142
8,1,"historical-q-gate",-0.0724995355738087,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.00106354287251142
8,1,"commonq-fixed",-0.0730717312964028,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000491347149917387
8,1,"pm-hk",-0.0730717312964028,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000491347149917387
8,1,"equalq",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000836249908126876
8,1,"aggregate-gate",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000836249908126876
8,1,"validation-50",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000836249908126876
8,1,"validation-100",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000836249908126876
8,1,"validation-200",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000836249908126876
8,1,"site-exclusion-200",NA,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,NA
8,2,"historical-fixed",-0.0724524156228038,-0.0735630784463202,-0.0727268285381933,0.00083624990812689,0.00111066282351636
8,2,"historical-dl",-0.0724524156228038,-0.0735630784463202,-0.0727268285381933,0.00083624990812689,0.00111066282351636
8,2,"historical-q-gate",-0.0724524156228038,-0.0735630784463202,-0.0727268285381933,0.00083624990812689,0.00111066282351636
8,2,"commonq-fixed",-0.0730194960125276,-0.0735630784463202,-0.0727268285381933,0.00083624990812689,0.000543582433792544
8,2,"pm-hk",-0.0730194960125276,-0.0735630784463202,-0.0727268285381933,0.00083624990812689,0.000543582433792544
