"formal_scenario","pair_id","site","theta_local","v_local","theta_q","v_q","intended_theta_q"
12,1,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
12,1,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
12,1,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
12,1,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
12,2,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
12,2,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
12,2,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
12,2,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
12,2,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
12,2,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
12,3,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
12,3,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
12,3,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
12,3,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
12,3,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
12,3,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
13,1,1,-0.0843314826152763,0.00027050757339862,-0.0871261568926404,0.00032418437707444,-0.0871261568926404
13,1,2,-0.0853757170733386,0.000271540700562043,-0.0871261568926403,0.00029771021079564,-0.0871261568926403
13,1,3,-0.0865018918648423,0.000278042919371287,-0.0871261568926403,0.000285443098117511,-0.0871261568926403
13,1,4,-0.0877022921724986,0.000290618469932025,-0.0871261568926403,0.000285949853552199,-0.0871261568926403
13,1,5,-0.0889655959605705,0.00031010101313496,-0.0871261568926403,0.000299343095236011,-0.0871261568926403
13,1,6,-0.0902773083454988,0.000337588613325735,-0.0871261568926403,0.000327314136321057,-0.0871261568926403
13,2,1,-0.0843314826152763,0.00027050757339862,-0.0871261568926404,0.00032418437707444,-0.0871261568926404
13,2,2,-0.0853757170733386,0.000271540700562043,-0.0871261568926403,0.00029771021079564,-0.0871261568926403
13,2,3,-0.0865018918648423,0.000278042919371287,-0.0871261568926403,0.000285443098117511,-0.0871261568926403
13,2,4,-0.0877022921724986,0.000290618469932025,-0.0871261568926403,0.000285949853552199,-0.0871261568926403
13,2,5,-0.0889655959605705,0.00031010101313496,-0.0871261568926403,0.000299343095236011,-0.0871261568926403
13,2,6,-0.0902773083454988,0.000337588613325735,-0.0871261568926403,0.000327314136321057,-0.0871261568926403
13,3,1,-0.0843314826152763,0.00027050757339862,-0.0871261568926404,0.00032418437707444,-0.0871261568926404
13,3,2,-0.0853757170733386,0.000271540700562043,-0.0871261568926403,0.00029771021079564,-0.0871261568926403
13,3,3,-0.0865018918648423,0.000278042919371287,-0.0871261568926403,0.000285443098117511,-0.0871261568926403
13,3,4,-0.0877022921724986,0.000290618469932025,-0.0871261568926403,0.000285949853552199,-0.0871261568926403
13,3,5,-0.0889655959605705,0.00031010101313496,-0.0871261568926403,0.000299343095236011,-0.0871261568926403
13,3,6,-0.0902773083454988,0.000337588613325735,-0.0871261568926403,0.000327314136321057,-0.0871261568926403
14,1,1,-0.0774651549059398,0.000365261820122807,-0.082108657443879,0.00066135208303946,-0.0871261568926404
14,1,2,-0.0853757170733386,0.000271540700562043,-0.0871261568926403,0.00029771021079564,-0.0871261568926403
14,1,3,-0.0865018918648423,0.000278042919371287,-0.0871261568926403,0.000285443098117511,-0.0871261568926403
14,1,4,-0.0877022921724986,0.000290618469932025,-0.0871261568926403,0.000285949853552199,-0.0871261568926403
14,1,5,-0.0889655959605705,0.00031010101313496,-0.0871261568926403,0.000299343095236011,-0.0871261568926403
14,1,6,-0.0807393735002905,0.000507729026226279,-0.082108657443879,0.000543440051148494,-0.0871261568926403
14,2,1,-0.0843314826152763,0.00027050757339862,-0.0871261568926404,0.00032418437707444,-0.0871261568926404
14,2,2,-0.0780142248328078,0.000372980386096805,-0.082108657443879,0.000582428294042966,-0.0871261568926403
14,2,3,-0.0865018918648423,0.000278042919371287,-0.0871261568926403,0.000285443098117511,-0.0871261568926403
14,2,4,-0.0877022921724986,0.000290618469932025,-0.0871261568926403,0.000285949853552199,-0.0871261568926403
14,2,5,-0.0799783802357066,0.000454210257557835,-0.082108657443879,0.000516924249012526,-0.0871261568926403
14,2,6,-0.0902773083454988,0.000337588613325735,-0.0871261568926403,0.000327314136321057,-0.0871261568926403
14,3,1,-0.0843314826152763,0.00027050757339862,-0.0871261568926404,0.00032418437707444,-0.0871261568926404
14,3,2,-0.0853757170733386,0.000271540700562043,-0.0871261568926403,0.00029771021079564,-0.0871261568926403
14,3,3,-0.0786154515269708,0.000389282176631582,-0.082108657443879,0.000535380003032024,-0.0871261568926403
14,3,4,-0.0792700881797573,0.000415665071068982,-0.082108657443879,0.00051437594858091,-0.0871261568926403
14,3,5,-0.0889655959605705,0.00031010101313496,-0.0871261568926403,0.000299343095236011,-0.0871261568926403
14,3,6,-0.0902773083454988,0.000337588613325735,-0.0871261568926403,0.000327314136321057,-0.0871261568926403
15,1,1,-0.0890154877956231,0.000271555228291998,-0.0938981430461143,0.000327072650892915,-0.0871261568926404
