"scenario","separation_key","s","gamma_z_key","gamma_z","shape","I_G","I_C","I_Q","label","n","columns","rank","zero_variance","duplicate","ok"
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"C0_t2",16618,5,5,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"C1_t0",20000,6,6,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"C1_t1",18360,6,6,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"C1_t2",16618,6,6,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"C2_t0",20000,10,10,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"C2_t1",18360,10,10,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"C2_t2",16618,10,10,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a0_t0",8675,4,4,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a0_t1",7834,6,6,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a0_t2",6366,8,8,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a1_t0",9685,4,4,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a1_t1",8784,6,6,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a1_t2",8298,8,8,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a0_t0",8675,5,5,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a0_t1",7834,8,8,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a0_t2",6366,11,11,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a1_t0",9685,5,5,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a1_t1",8784,8,8,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a1_t2",8298,11,11,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a0_t0",8675,8,8,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a0_t1",7834,17,17,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a0_t2",6366,29,29,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a1_t0",9685,8,8,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a1_t1",8784,17,17,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a1_t2",8298,29,29,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a0_t0",8675,10,10,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a0_t1",7834,13,13,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a0_t2",6366,13,13,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a1_t0",9685,10,10,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a1_t1",8784,13,13,FALSE,FALSE,TRUE
3,"good",0.65,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a1_t2",8298,13,13,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G0_t0",20000,4,4,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G0_t1",18398,5,5,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G0_t2",16763,5,5,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G1_t0",20000,5,5,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G1_t1",18398,6,6,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G1_t2",16763,6,6,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G2_t0",20000,7,7,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G2_t1",18398,8,8,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G2_t2",16763,8,8,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G3_t0",20000,6,6,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G3_t1",18398,7,7,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G3_t2",16763,7,7,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G4_t0",20000,11,11,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G4_t1",18398,12,12,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"G4_t2",16763,12,12,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"C0_t0",20000,5,5,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"C0_t1",18398,5,5,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"C0_t2",16763,5,5,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"C1_t0",20000,6,6,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"C1_t1",18398,6,6,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"C1_t2",16763,6,6,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"C2_t0",20000,10,10,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"C2_t1",18398,10,10,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"C2_t2",16763,10,10,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a0_t0",7808,4,4,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a0_t1",7527,6,6,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a0_t2",6080,8,8,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a1_t0",10590,4,4,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a1_t1",9236,6,6,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL0_a1_t2",8765,8,8,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a0_t0",7808,5,5,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a0_t1",7527,8,8,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a0_t2",6080,11,11,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a1_t0",10590,5,5,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a1_t1",9236,8,8,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL1_a1_t2",8765,11,11,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a0_t0",7808,8,8,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a0_t1",7527,17,17,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a0_t2",6080,29,29,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a1_t0",10590,8,8,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a1_t1",9236,17,17,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL2_a1_t2",8765,29,29,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a0_t0",7808,10,10,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a0_t1",7527,13,13,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a0_t2",6080,13,13,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a1_t0",10590,10,10,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a1_t1",9236,13,13,FALSE,FALSE,TRUE
4,"poor",1.25,"moderate",0.751416088683921,"all-main",0,0,0,"QL3_a1_t2",8765,13,13,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G0_t0",20000,4,4,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G0_t1",18409,5,5,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G0_t2",16632,5,5,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G1_t0",20000,5,5,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G1_t1",18409,6,6,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G1_t2",16632,6,6,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G2_t0",20000,7,7,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G2_t1",18409,8,8,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G2_t2",16632,8,8,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G3_t0",20000,6,6,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G3_t1",18409,7,7,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G3_t2",16632,7,7,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G4_t0",20000,11,11,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G4_t1",18409,12,12,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"G4_t2",16632,12,12,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"C0_t0",20000,5,5,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"C0_t1",18409,5,5,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"C0_t2",16632,5,5,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"C1_t0",20000,6,6,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"C1_t1",18409,6,6,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"C1_t2",16632,6,6,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"C2_t0",20000,10,10,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"C2_t1",18409,10,10,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"C2_t2",16632,10,10,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"QL0_a0_t0",8892,4,4,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"QL0_a0_t1",7852,6,6,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"QL0_a0_t2",6549,8,8,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"QL0_a1_t0",9517,4,4,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"QL0_a1_t1",8780,6,6,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"QL0_a1_t2",8229,8,8,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"QL1_a0_t0",8892,5,5,FALSE,FALSE,TRUE
5,"good",0.65,"strong",1.49962304642689,"all-main",0,0,0,"QL1_a0_t1",7852,8,8,FALSE,FALSE,TRUE
