"scenario","n","event_target","K","effect","candidate","coverage","coverage_mcse","failure_probability","failure_mcse","truth_mcse","truth_draws","n_attempted","pass"
34,8000,70,16,"heterogeneous","c50-h48",0.947,0.0050095408971282,0,0,2.45149428847388e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c50-h48",0.942,0.00522666241496426,0,0,9.01990785036488e-06,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c50-h48",0.9525,0.00475624589355933,0,0,5.12158291617308e-06,2000000,2000,TRUE
1,4000,35,4,"null","c50-h60",0.957,0.00453602248671675,0,0,0,2000000,2000,TRUE
2,8000,35,4,"null","c50-h60",0.9465,0.00503178646208283,0,0,0,2000000,2000,TRUE
3,4000,70,4,"null","c50-h60",0.9475,0.00498717104178311,0,0,0,2000000,2000,TRUE
4,8000,70,4,"null","c50-h60",0.944,0.00514120608417908,0,0,0,2000000,2000,TRUE
5,4000,140,4,"null","c50-h60",0.947,0.0050095408971282,0,0,0,2000000,2000,TRUE
6,8000,140,4,"null","c50-h60",0.951,0.00482695556225661,0,0,0,2000000,2000,TRUE
7,4000,35,16,"null","c50-h60",0.9455,0.00507591124823908,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c50-h60",0.958,0.00448530935387962,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c50-h60",0.9455,0.00507591124823908,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c50-h60",0.9505,0.0048502448391808,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c50-h60",0.952,0.00477995815881269,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c50-h60",0.9525,0.00475624589355933,0,0,0,2000000,2000,TRUE
13,4000,35,4,"homogeneous","c50-h60",0.955,0.00463546114210873,0,0,2.64696931515473e-06,2000000,2000,TRUE
14,8000,35,4,"homogeneous","c50-h60",0.952,0.00477995815881269,0,0,1.43353875187967e-06,2000000,2000,TRUE
15,4000,70,4,"homogeneous","c50-h60",0.954,0.00468422885862764,0,0,5.86777047546307e-06,2000000,2000,TRUE
16,8000,70,4,"homogeneous","c50-h60",0.9555,0.00461084319837489,0,0,2.87959683392611e-06,2000000,2000,TRUE
17,4000,140,4,"homogeneous","c50-h60",0.939,0.00535158854920668,0,0,9.51070691145131e-06,2000000,2000,TRUE
18,8000,140,4,"homogeneous","c50-h60",0.947,0.0050095408971282,0,0,5.53290562667928e-06,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c50-h60",0.9515,0.00480352734977121,0,0,2.64696931515473e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c50-h60",0.947,0.0050095408971282,0,0,1.43353875187967e-06,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c50-h60",0.9475,0.00498717104178311,0,0,5.86777047546307e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c50-h60",0.9485,0.00494205169944629,0,0,2.87959683392611e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c50-h60",0.945,0.00509779364038993,0,0,9.51070691145131e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c50-h60",0.961,0.00432891441356837,0,0,5.53290562667928e-06,2000000,2000,TRUE
25,4000,35,4,"heterogeneous","c50-h60",0.9495,0.00489641450451246,0,0,3.17601745513802e-06,2000000,2000,TRUE
26,8000,35,4,"heterogeneous","c50-h60",0.9475,0.00498717104178311,0,0,1.56955116705839e-06,2000000,2000,TRUE
27,4000,70,4,"heterogeneous","c50-h60",0.951,0.00482695556225661,0,0,5.82301161600508e-06,2000000,2000,TRUE
28,8000,70,4,"heterogeneous","c50-h60",0.9525,0.00475624589355933,0,0,3.03755242637543e-06,2000000,2000,TRUE
29,4000,140,4,"heterogeneous","c50-h60",0.9485,0.00494205169944629,0,0,1.08914352088315e-05,2000000,2000,TRUE
30,8000,140,4,"heterogeneous","c50-h60",0.9485,0.00494205169944629,0,0,6.29380722734073e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c50-h60",0.957,0.00453602248671675,0,0,3.17601745513802e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c50-h60",0.9485,0.00494205169944629,0,0,1.56955116705839e-06,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c50-h60",0.9415,0.0052477495176504,0,0,5.82301161600508e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c50-h60",0.944,0.00514120608417908,0,0,3.03755242637543e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c50-h60",0.941,0.00526872849936301,0,0,1.08914352088315e-05,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c50-h60",0.956,0.00458606585212206,0,0,6.29380722734073e-06,2000000,2000,TRUE
7,4000,35,16,"null","c55-h24",0.945,0.00509779364038993,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c55-h24",0.9475,0.00498717104178311,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c55-h24",0.9435,0.00516273909857936,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c55-h24",0.9525,0.00475624589355933,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c55-h24",0.9585,0.00445969449626317,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c55-h24",0.9415,0.0052477495176504,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c55-h24",0.9485,0.00494205169944629,0,0,1.32236834226953e-06,2000000,2000,TRUE
