"candidate_1","candidate_2","correlation","scenario"
"c55-h48","c60-h48",0.831872909260618,8
"c60-h24","c60-h48",0.711131387579749,8
"c60-h36","c60-h48",0.865708732805039,8
"c60-h48","c60-h48",1,8
"c50-h48","c60-h48",0.758113864626941,8
"c45-h24","c60-h48",0.528478596706054,8
"c45-h36","c60-h48",0.629155095883351,8
"c50-h24","c60-h48",0.555197121149956,8
"c45-h48","c60-h48",0.71506637703001,8
"c55-h60","c50-h48",0.794189548785566,8
"c50-h60","c50-h48",0.889648113603453,8
"c50-h36","c50-h48",0.872342379937695,8
"c55-h36","c50-h48",0.784503992329798,8
"c45-h60","c50-h48",0.834663244906033,8
"c60-h60","c50-h48",0.66501452024728,8
"c55-h24","c50-h48",0.65144965146509,8
"c55-h48","c50-h48",0.896140624339922,8
"c60-h24","c50-h48",0.54120598804642,8
"c60-h36","c50-h48",0.66312419251349,8
"c60-h48","c50-h48",0.758113864626941,8
"c50-h48","c50-h48",1,8
"c45-h24","c50-h48",0.677284973681151,8
"c45-h36","c50-h48",0.823797255840714,8
"c50-h24","c50-h48",0.71704657533691,8
"c45-h48","c50-h48",0.942142154145914,8
"c55-h60","c45-h24",0.551016292297084,8
"c50-h60","c45-h24",0.617967882925516,8
"c50-h36","c45-h24",0.772807933936383,8
"c55-h36","c45-h24",0.696472863493257,8
"c45-h60","c45-h24",0.650152523287271,8
"c60-h60","c45-h24",0.478041058242879,8
"c55-h24","c45-h24",0.861287199457951,8
"c55-h48","c45-h24",0.605635020519098,8
"c60-h24","c45-h24",0.738588359531308,8
"c60-h36","c45-h24",0.60635892808314,8
"c60-h48","c45-h24",0.528478596706054,8
"c50-h48","c45-h24",0.677284973681151,8
"c45-h24","c45-h24",1,8
"c45-h36","c45-h24",0.818385140631543,8
"c50-h24","c45-h24",0.948305053867077,8
"c45-h48","c45-h24",0.711777680275604,8
"c55-h60","c45-h36",0.659429667537641,8
"c50-h60","c45-h36",0.73993769681238,8
"c50-h36","c45-h36",0.943209120467733,8
"c55-h36","c45-h36",0.851212488509215,8
"c45-h60","c45-h36",0.779919309492636,8
"c60-h60","c45-h36",0.561206446340677,8
"c55-h24","c45-h36",0.709237546111604,8
"c55-h48","c45-h36",0.733286721633911,8
"c60-h24","c45-h36",0.600081811164829,8
"c60-h36","c45-h36",0.725918203329864,8
"c60-h48","c45-h36",0.629155095883351,8
"c50-h48","c45-h36",0.823797255840714,8
"c45-h24","c45-h36",0.818385140631543,8
"c45-h36","c45-h36",1,8
"c50-h24","c45-h36",0.77527542483358,8
"c45-h48","c45-h36",0.870077544079843,8
"c55-h60","c50-h24",0.58330310552098,8
"c50-h60","c50-h24",0.656701930059385,8
"c50-h36","c50-h24",0.818671328140737,8
"c55-h36","c50-h24",0.735149553494485,8
"c45-h60","c50-h24",0.618801872461636,8
"c60-h60","c50-h24",0.50322814126323,8
"c55-h24","c50-h24",0.905914961893149,8
"c55-h48","c50-h24",0.640068499703649,8
"c60-h24","c50-h24",0.771545535251727,8
"c60-h36","c50-h24",0.637397703937976,8
"c60-h48","c50-h24",0.555197121149956,8
"c50-h48","c50-h24",0.71704657533691,8
"c45-h24","c50-h24",0.948305053867077,8
"c45-h36","c50-h24",0.77527542483358,8
"c50-h24","c50-h24",1,8
"c45-h48","c50-h24",0.67440019991286,8
"c55-h60","c45-h48",0.747070003967796,8
"c50-h60","c45-h48",0.836650436370434,8
"c50-h36","c45-h48",0.819026429275141,8
"c55-h36","c45-h48",0.738689688136532,8
"c45-h60","c45-h48",0.887551151073714,8
"c60-h60","c45-h48",0.626531490330888,8
"c55-h24","c45-h48",0.615829498198822,8
"c55-h48","c45-h48",0.843152202055136,8
"c60-h24","c45-h48",0.511773744687887,8
"c60-h36","c45-h48",0.625130622934256,8
"c60-h48","c45-h48",0.71506637703001,8
"c50-h48","c45-h48",0.942142154145914,8
"c45-h24","c45-h48",0.711777680275604,8
"c45-h36","c45-h48",0.870077544079843,8
"c50-h24","c45-h48",0.67440019991286,8
"c45-h48","c45-h48",1,8
"c55-h60","c55-h60",1,9
"c55-h36","c55-h60",0.769615597642904,9
"c60-h24","c55-h60",0.534920826004497,9
"c60-h36","c55-h60",0.642595406433612,9
"c50-h36","c55-h60",0.697804187342326,9
"c50-h60","c55-h60",0.897148023652128,9
"c45-h60","c55-h60",0.847093774797474,9
"c60-h60","c55-h60",0.834669385585124,9
"c55-h24","c55-h60",0.646522146461156,9
"c55-h48","c55-h60",0.894888139792484,9
"c50-h24","c55-h60",0.582539705534331,9
