"scenario","n","event_target","event_regime","K","effect","method","selector","candidate","mean_truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","coverage_conditional","coverage_conditional_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","convergence_mcse","failure_probability","median_width","median_ess1","median_ess0","median_max_weight","n_used","n_attempted"
11,4000,140,"above",16,"null","bonferroni","effect_seeking",NA,0,-0.0108926351122883,0.000277644700411982,0.0124166484742751,0.000196373549947515,0.0135214485665149,0.00010406327926243,8.89773190026832,1.91534981086185,0.000272745572443508,1.10881263688133e-05,0.989,0.00233227356885937,0.989,0.00233227356885937,0.9945,0.00165374574829385,0.011,0.00233227356885937,1,0,0,0.0687769424810438,996.296671625966,877.42271794565,6.81835669919845,2000,2000
12,8000,140,"above",16,"null","bonferroni","effect_seeking",NA,0,-0.00562409717776446,0.000148625250457301,0.00664672326390915,0.000105120205791183,0.00706628147964323,5.70872828209086e-05,6.31225641681565,1.88803068997079,7.57873097468559e-05,2.94134590633938e-06,0.9955,0.00149662119455792,0.9955,0.00149662119455792,0.999,0.000706753139363385,0.0045,0.00149662119455793,1,0,0,0.0357750644288609,1976.2875877482,1726.89122058564,7.2588362734712,2000,2000
13,4000,35,"below",4,"homogeneous","bonferroni","effect_seeking",NA,-0.00567812430651534,-0.00273972447747492,0.000129652606318762,0.0057982408237754,9.17011652842053e-05,0.00621705977567924,2.73954875095345e-05,7.22320725600931,1.76036318725201,4.11088770646456e-05,1.41653126136955e-06,0.9935,0.00179690706493129,0.9935,0.00179690706493129,0.9915,0.00205277251540447,0.0955,0.00657190041007926,1,0,0,0.0299261140245708,1191.68518249027,1258.10000929281,6.66299922707709,2000,2000
14,8000,35,"below",4,"homogeneous","bonferroni","effect_seeking",NA,-0.00288138300622662,-0.00127727985796409,6.6933581633223e-05,0.00299336077018836,4.73410261982819e-05,0.00315726483901417,1.40227655903762e-05,5.4755868540195,1.73266357960219,1.05871724317132e-05,3.53620780509375e-07,0.9925,0.00192921616207204,0.9925,0.00192921616207204,0.9915,0.00205277251540447,0.092,0.00646281672337998,1,0,0,0.0152329005658813,2397.81838861524,2526.47854692319,7.06305458292807,2000,2000
15,4000,70,"boundary",4,"homogeneous","bonferroni","effect_seeking",NA,-0.0114760127806963,-0.0034207484354521,0.000180284941764338,0.008062587702093,0.0001275125869999,0.00866124008441553,3.33312379363334e-05,7.42506505903957,1.74853769810923,7.66743376523624e-05,2.52184916634921e-06,0.9885,0.00238408787589719,0.9885,0.00238408787589719,0.9905,0.00216907238237915,0.206,0.00904334009091774,1,0,0,0.0418598044799968,1193.23747160287,1264.28041985393,6.61551699727957,2000,2000
16,8000,70,"boundary",4,"homogeneous","bonferroni","effect_seeking",NA,-0.00577840470569028,-0.00180963327756535,9.23029824335176e-05,0.00412791486494629,6.52843879401154e-05,0.00440864869278927,1.75813134102651e-05,6.80086283336265,1.74196274780912,2.03059338909503e-05,6.60195616705068e-07,0.9935,0.00179690706493129,0.9935,0.00179690706493129,0.995,0.00157718102955875,0.204,0.00901066035315947,1,0,0,0.0212849458032548,2407.70200068909,2531.3435045223,7.06331748790397,2000,2000
17,4000,140,"above",4,"homogeneous","bonferroni","effect_seeking",NA,-0.0224275241313714,-0.00426380920752441,0.000257384237445429,0.0115105730252985,0.000182043656272546,0.0118588726194761,3.99412284909791e-05,3.02591012117346,1.6659286365866,0.000150607113683214,4.88769473075105e-06,0.988,0.00243474844696531,0.988,0.00243474844696531,0.9895,0.00227922684259377,0.406,0.0109809835625048,1,0,0,0.0571672806445665,1199.3572728611,1261.93700975766,6.64029105215566,2000,2000
18,8000,140,"above",4,"homogeneous","bonferroni","effect_seeking",NA,-0.0116633804820244,-0.0021799755632296,0.000132475029167607,0.00592446341080072,9.36974187457633e-05,0.00610171724831892,2.08757004654589e-05,2.99189690656307,1.66652931665095,3.98340105288417e-05,1.41602300421457e-06,0.985,0.00271799558498538,0.985,0.00271799558498538,0.9865,0.00258047960658479,0.409,0.0109936117813938,1,0,0,0.0295741176566793,2416.01698256344,2551.71133958876,7.071457343514,2000,2000
19,4000,35,"below",16,"homogeneous","bonferroni","effect_seeking",NA,-0.005133797185903,-0.00465499256677713,0.000128116502546588,0.0057295441746739,9.06147042410737e-05,0.00646080759600219,5.7912450691553e-05,12.7630296413572,2.04990712413974,5.44802184080652e-05,2.06128443824291e-06,0.9955,0.00149662119455792,0.9955,0.00149662119455792,0.9975,0.00111663557170635,0.054,0.00505390937789747,1,0,0,0.0320429574132613,1223.29747286387,1297.74932860327,7.01590001941356,2000,2000
20,8000,35,"below",16,"homogeneous","bonferroni","effect_seeking",NA,-0.0025931160862462,-0.0024275179518495,6.88645082540819e-05,0.00307971443386445,4.87067389767487e-05,0.00326633006119112,3.03047531172586e-05,6.05951075445976,1.94469559017287,1.53727420802075e-05,6.80278724136125e-07,0.996,0.00141138230115019,0.996,0.00141138230115019,0.9965,0.00132055859392909,0.0505,0.00489641450451246,1,0,0,0.0160402190856199,2452.18461832272,2586.05670539744,7.4759935284171,2000,2000
