"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
24,8000,140,16,"homogeneous","split","prognostic_high","c45-h36",0.001,2,2000
31,4000,35,16,"heterogeneous","split","prognostic_high","c45-h36",0.017,34,2000
32,8000,35,16,"heterogeneous","split","prognostic_high","c45-h36",0.0155,31,2000
33,4000,70,16,"heterogeneous","split","prognostic_high","c45-h36",0.006,12,2000
34,8000,70,16,"heterogeneous","split","prognostic_high","c45-h36",0.004,8,2000
35,4000,140,16,"heterogeneous","split","prognostic_high","c45-h36",0.0035,7,2000
36,8000,140,16,"heterogeneous","split","prognostic_high","c45-h36",0.0015,3,2000
7,4000,35,16,"null","bonferroni","prognostic_low","c45-h36",0.02,40,2000
8,8000,35,16,"null","bonferroni","prognostic_low","c45-h36",0.021,42,2000
9,4000,70,16,"null","bonferroni","prognostic_low","c45-h36",0.0175,35,2000
10,8000,70,16,"null","bonferroni","prognostic_low","c45-h36",0.0155,31,2000
11,4000,140,16,"null","bonferroni","prognostic_low","c45-h36",0.005,10,2000
12,8000,140,16,"null","bonferroni","prognostic_low","c45-h36",0.003,6,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.0275,55,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.027,54,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.0155,31,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.016,32,2000
23,4000,140,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.006,12,2000
24,8000,140,16,"homogeneous","bonferroni","prognostic_low","c45-h36",0.007,14,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.019,38,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.016,32,2000
33,4000,70,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.0065,13,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.0075,15,2000
35,4000,140,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.001,2,2000
36,8000,140,16,"heterogeneous","bonferroni","prognostic_low","c45-h36",0.003,6,2000
7,4000,35,16,"null","naive","prognostic_low","c45-h36",0.02,40,2000
8,8000,35,16,"null","naive","prognostic_low","c45-h36",0.021,42,2000
9,4000,70,16,"null","naive","prognostic_low","c45-h36",0.0175,35,2000
10,8000,70,16,"null","naive","prognostic_low","c45-h36",0.0155,31,2000
11,4000,140,16,"null","naive","prognostic_low","c45-h36",0.005,10,2000
12,8000,140,16,"null","naive","prognostic_low","c45-h36",0.003,6,2000
19,4000,35,16,"homogeneous","naive","prognostic_low","c45-h36",0.0275,55,2000
20,8000,35,16,"homogeneous","naive","prognostic_low","c45-h36",0.027,54,2000
21,4000,70,16,"homogeneous","naive","prognostic_low","c45-h36",0.0155,31,2000
22,8000,70,16,"homogeneous","naive","prognostic_low","c45-h36",0.016,32,2000
23,4000,140,16,"homogeneous","naive","prognostic_low","c45-h36",0.006,12,2000
24,8000,140,16,"homogeneous","naive","prognostic_low","c45-h36",0.007,14,2000
31,4000,35,16,"heterogeneous","naive","prognostic_low","c45-h36",0.019,38,2000
32,8000,35,16,"heterogeneous","naive","prognostic_low","c45-h36",0.016,32,2000
33,4000,70,16,"heterogeneous","naive","prognostic_low","c45-h36",0.0065,13,2000
34,8000,70,16,"heterogeneous","naive","prognostic_low","c45-h36",0.0075,15,2000
35,4000,140,16,"heterogeneous","naive","prognostic_low","c45-h36",0.001,2,2000
36,8000,140,16,"heterogeneous","naive","prognostic_low","c45-h36",0.003,6,2000
7,4000,35,16,"null","split","prognostic_low","c45-h36",0.0335,67,2000
8,8000,35,16,"null","split","prognostic_low","c45-h36",0.0305,61,2000
9,4000,70,16,"null","split","prognostic_low","c45-h36",0.0255,51,2000
10,8000,70,16,"null","split","prognostic_low","c45-h36",0.024,48,2000
11,4000,140,16,"null","split","prognostic_low","c45-h36",0.0145,29,2000
12,8000,140,16,"null","split","prognostic_low","c45-h36",0.014,28,2000
19,4000,35,16,"homogeneous","split","prognostic_low","c45-h36",0.033,66,2000
20,8000,35,16,"homogeneous","split","prognostic_low","c45-h36",0.032,64,2000
21,4000,70,16,"homogeneous","split","prognostic_low","c45-h36",0.0295,59,2000
22,8000,70,16,"homogeneous","split","prognostic_low","c45-h36",0.0245,49,2000
23,4000,140,16,"homogeneous","split","prognostic_low","c45-h36",0.018,36,2000
24,8000,140,16,"homogeneous","split","prognostic_low","c45-h36",0.0195,39,2000
