"truth_scenario","n","event_target","effect","candidate","c","h","score_key","lambda","expected_eligible","expected_treated","expected_control","expected_events","distance_from_70","population_r2","diagnostic_draws","scenario","K","analysis_scenario"
7,4000,35,"homogeneous","c55-h36",55,36,"higher",0.00030927963450513,NA,1057.62194763893,942.64805236108,29.8295209213794,-40.1704790786206,0.00307039199398848,2000000,19,16,37
7,4000,35,"homogeneous","c55-h48",55,48,"higher",0.00030927963450513,NA,1057.62194763893,942.64805236108,39.6492340935171,-30.3507659064829,0.00407811714081146,2000000,19,16,37
7,4000,35,"homogeneous","c55-h60",55,60,"higher",0.00030927963450513,NA,1057.62194763893,942.64805236108,49.4079955314972,-20.5920044685028,0.00507805800082928,2000000,19,16,37
7,4000,35,"homogeneous","c60-h24",60,24,"higher",0.00030927963450513,NA,691.75501667064,507.844983329379,13.7311817097321,-56.2688182902679,0.00202296830697805,2000000,19,16,37
7,4000,35,"homogeneous","c60-h36",60,36,"higher",0.00030927963450513,NA,691.75501667064,507.844983329379,20.5252514564119,-49.4747485435881,0.00302240155660397,2000000,19,16,37
7,4000,35,"homogeneous","c60-h48",60,48,"higher",0.00030927963450513,NA,691.75501667064,507.844983329379,27.2721640960169,-42.7278359039831,0.00401386847050992,2000000,19,16,37
7,4000,35,"homogeneous","c60-h60",60,60,"higher",0.00030927963450513,NA,691.75501667064,507.844983329379,33.9723076612412,-36.0276923387588,0.00499741937061729,2000000,19,16,37
7,4000,35,"homogeneous","c45-h24",45,24,"reduced",0.00030927963450513,NA,1565.69749885881,1865.86650114116,27.9725793385176,-42.0274206614824,0.0012311525367588,2000000,19,16,38
7,4000,35,"homogeneous","c45-h36",45,36,"reduced",0.00030927963450513,NA,1565.69749885881,1865.86650114116,41.8453917772318,-28.1546082227682,0.00183953894481582,2000000,19,16,38
7,4000,35,"homogeneous","c45-h48",45,48,"reduced",0.00030927963450513,NA,1565.69749885881,1865.86650114116,55.6432531643169,-14.3567468356831,0.00244317766395469,2000000,19,16,38
7,4000,35,"homogeneous","c45-h60",45,60,"reduced",0.00030927963450513,NA,1565.69749885881,1865.86650114116,69.3666832122534,-0.633316787746608,0.00304210254045176,2000000,19,16,38
7,4000,35,"homogeneous","c50-h24",50,24,"reduced",0.00030927963450513,NA,1366.00203752654,1435.84196247347,24.8915586831857,-45.1084413168143,0.00106083859243435,2000000,19,16,38
7,4000,35,"homogeneous","c50-h36",50,36,"reduced",0.00030927963450513,NA,1366.00203752654,1435.84196247347,37.230625060479,-32.769374939521,0.00158464263807398,2000000,19,16,38
7,4000,35,"homogeneous","c50-h48",50,48,"reduced",0.00030927963450513,NA,1366.00203752654,1435.84196247347,49.4992290399721,-20.5007709600279,0.00210408021776012,2000000,19,16,38
7,4000,35,"homogeneous","c50-h60",50,60,"reduced",0.00030927963450513,NA,1366.00203752654,1435.84196247347,61.6978747701457,-8.30212522985427,0.00261918379491932,2000000,19,16,38
7,4000,35,"homogeneous","c55-h24",55,24,"reduced",0.00030927963450513,NA,1057.62194763893,942.64805236108,19.9483910309057,-50.0516089690943,0.000882064677023938,2000000,19,16,38
7,4000,35,"homogeneous","c55-h36",55,36,"reduced",0.00030927963450513,NA,1057.62194763893,942.64805236108,29.8295209213794,-40.1704790786206,0.00131726911279763,2000000,19,16,38
7,4000,35,"homogeneous","c55-h48",55,48,"reduced",0.00030927963450513,NA,1057.62194763893,942.64805236108,39.6492340935171,-30.3507659064829,0.00174862785244591,2000000,19,16,38
7,4000,35,"homogeneous","c55-h60",55,60,"reduced",0.00030927963450513,NA,1057.62194763893,942.64805236108,49.4079955314972,-20.5920044685028,0.00217617029104414,2000000,19,16,38
7,4000,35,"homogeneous","c60-h24",60,24,"reduced",0.00030927963450513,NA,691.75501667064,507.844983329379,13.7311817097321,-56.2688182902679,0.000714625427865163,2000000,19,16,38
7,4000,35,"homogeneous","c60-h36",60,36,"reduced",0.00030927963450513,NA,691.75501667064,507.844983329379,20.5252514564119,-49.4747485435881,0.00106696922290523,2000000,19,16,38
7,4000,35,"homogeneous","c60-h48",60,48,"reduced",0.00030927963450513,NA,691.75501667064,507.844983329379,27.2721640960169,-42.7278359039831,0.00141603443961602,2000000,19,16,38
7,4000,35,"homogeneous","c60-h60",60,60,"reduced",0.00030927963450513,NA,691.75501667064,507.844983329379,33.9723076612412,-36.0276923387588,0.00176184636693848,2000000,19,16,38
8,8000,35,"homogeneous","c45-h24",45,24,"higher",0.000153775122859788,NA,3131.39499771763,3731.73300228231,27.8921685664204,-42.1078314335796,0.00111046041745867,2000000,20,16,39
8,8000,35,"homogeneous","c45-h36",45,36,"higher",0.000153775122859788,NA,3131.39499771763,3731.73300228231,41.7818181739904,-28.2181818260096,0.00166267132883077,2000000,20,16,39
8,8000,35,"homogeneous","c45-h48",45,48,"higher",0.000153775122859788,NA,3131.39499771763,3731.73300228231,55.6340185342265,-14.3659814657735,0.00221287820351419,2000000,20,16,39
8,8000,35,"homogeneous","c45-h60",45,60,"higher",0.000153775122859788,NA,3131.39499771763,3731.73300228231,69.4488993533132,-0.551100646686834,0.00276108763392497,2000000,20,16,39
8,8000,35,"homogeneous","c50-h24",50,24,"higher",0.000153775122859788,NA,2732.00407505307,2871.68392494694,24.8238560942765,-45.1761439057235,0.00106202181325613,2000000,20,16,39
8,8000,35,"homogeneous","c50-h36",50,36,"higher",0.000153775122859788,NA,2732.00407505307,2871.68392494694,37.182703635404,-32.817296364596,0.0015900598471145,2000000,20,16,39
8,8000,35,"homogeneous","c50-h48",50,48,"higher",0.000153775122859788,NA,2732.00407505307,2871.68392494694,49.5063328915468,-20.4936671084532,0.00211612466658218,2000000,20,16,39
8,8000,35,"homogeneous","c50-h60",50,60,"higher",0.000153775122859788,NA,2732.00407505307,2871.68392494694,61.794869715523,-8.20513028447694,0.00264022276929435,2000000,20,16,39
8,8000,35,"homogeneous","c55-h24",55,24,"higher",0.000153775122859788,NA,2115.24389527785,1885.29610472216,19.8992046034418,-50.1007953965582,0.00102563980040048,2000000,20,16,39
8,8000,35,"homogeneous","c55-h36",55,36,"higher",0.000153775122859788,NA,2115.24389527785,1885.29610472216,29.8024985651827,-40.1975014348173,0.00153551284625107,2000000,20,16,39
8,8000,35,"homogeneous","c55-h48",55,48,"higher",0.000153775122859788,NA,2115.24389527785,1885.29610472216,39.6750760284438,-30.3249239715562,0.00204342979850515,2000000,20,16,39
8,8000,35,"homogeneous","c55-h60",55,60,"higher",0.000153775122859788,NA,2115.24389527785,1885.29610472216,49.5170531331966,-20.4829468668034,0.00254939698819012,2000000,20,16,39
8,8000,35,"homogeneous","c60-h24",60,24,"higher",0.000153775122859788,NA,1383.51003334128,1015.68996665876,13.7023452008213,-56.2976547991787,0.00100986213623437,2000000,20,16,39
8,8000,35,"homogeneous","c60-h36",60,36,"higher",0.000153775122859788,NA,1383.51003334128,1015.68996665876,20.5179100306058,-49.4820899693942,0.00151179824356638,2000000,20,16,39
8,8000,35,"homogeneous","c60-h48",60,48,"higher",0.000153775122859788,NA,1383.51003334128,1015.68996665876,27.3098664773118,-42.6901335226882,0.00201174607588328,2000000,20,16,39
8,8000,35,"homogeneous","c60-h60",60,60,"higher",0.000153775122859788,NA,1383.51003334128,1015.68996665876,34.078311556651,-35.921688443349,0.00250971188399421,2000000,20,16,39
8,8000,35,"homogeneous","c45-h24",45,24,"reduced",0.000153775122859788,NA,3131.39499771763,3731.73300228231,27.8921685664204,-42.1078314335796,0.000614542199368702,2000000,20,16,40
8,8000,35,"homogeneous","c45-h36",45,36,"reduced",0.000153775122859788,NA,3131.39499771763,3731.73300228231,41.7818181739904,-28.2181818260096,0.00092002519766985,2000000,20,16,40
8,8000,35,"homogeneous","c45-h48",45,48,"reduced",0.000153775122859788,NA,3131.39499771763,3731.73300228231,55.6340185342265,-14.3659814657735,0.00122432177471867,2000000,20,16,40
8,8000,35,"homogeneous","c45-h60",45,60,"reduced",0.000153775122859788,NA,3131.39499771763,3731.73300228231,69.4488993533132,-0.551100646686834,0.00152743614566773,2000000,20,16,40
8,8000,35,"homogeneous","c50-h24",50,24,"reduced",0.000153775122859788,NA,2732.00407505307,2871.68392494694,24.8238560942765,-45.1761439057235,0.000529669401271057,2000000,20,16,40
8,8000,35,"homogeneous","c50-h36",50,36,"reduced",0.000153775122859788,NA,2732.00407505307,2871.68392494694,37.182703635404,-32.817296364596,0.000792858483124547,2000000,20,16,40
8,8000,35,"homogeneous","c50-h48",50,48,"reduced",0.000153775122859788,NA,2732.00407505307,2871.68392494694,49.5063328915468,-20.4936671084532,0.00105495590399987,2000000,20,16,40
8,8000,35,"homogeneous","c50-h60",50,60,"reduced",0.000153775122859788,NA,2732.00407505307,2871.68392494694,61.794869715523,-8.20513028447694,0.00131596570824727,2000000,20,16,40
8,8000,35,"homogeneous","c55-h24",55,24,"reduced",0.000153775122859788,NA,2115.24389527785,1885.29610472216,19.8992046034418,-50.1007953965582,0.000440518783868348,2000000,20,16,40
